FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
311074,-192,0,0,0,3,2.00
311124,3925504,26,974,0,0,3.00
311173,3925504,26,973,0,4,3.00
311224,3925504,26,974,0,0,3.00
311274,3925504,26,827,0,147,26.00
311317,-64000,0,0,1000,0,21.00
311362,-64000,0,0,1000,0,3.00
311413,3925504,26,974,0,0,3.00
311463,3925504,26,974,0,0,4.00
311514,3925504,26,974,0,0,3.00
311564,3925504,26,974,0,0,3.00
311615,3925504,26,974,0,0,3.00
311665,3925504,26,974,0,0,3.00
311715,3925504,26,974,0,0,3.00
311765,3925504,26,974,0,0,3.00
311816,3925504,26,974,0,0,3.00
311866,3925504,26,974,0,0,26.00
311908,-64000,0,0,1000,0,28.00
311951,-64000,0,0,999,0,4.00
312002,3925504,26,974,0,0,3.00
312052,3925504,26,974,0,0,3.00
312102,4015616,4,996,0,0,3.00
312152,4015616,4,996,0,0,3.00
312203,4015616,4,996,0,0,3.00
312253,4015616,4,996,0,0,3.00
312303,3925504,26,974,0,0,3.00
312354,1054208,2,273,0,725,3.00
312404,4015616,4,996,0,0,3.00
312454,-64000,0,0,0,0,3.00
312505,4015616,4,996,0,0,2.00
312555,3495424,4,869,46,81,26.00
312598,-64000,0,0,1000,0,27.00
312640,-64000,0,0,1000,0,25.00
312685,-64000,0,0,1000,0,28.00
312727,-64000,0,0,1000,1,24.00
312771,-64000,0,0,1000,0,28.00
312813,-64000,0,0,1000,0,5.00
312863,4015616,4,996,0,0,3.00
312913,4015616,4,996,0,0,3.00
312963,4015616,4,996,0,0,2.00
313014,4015616,4,996,0,0,4.00
313064,4015616,4,996,0,0,3.00
313114,4015616,4,996,0,0,3.00
313164,4015616,4,996,0,0,3.00
313215,4015616,4,996,0,0,4.00
