FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
246395,-64,0,0,0,1,45.00
246491,-64000,0,0,1000,0,8.00
246616,4015616,4,996,0,0,51.00
246708,-64000,0,0,1000,0,10.00
246834,4015616,4,996,0,0,39.00
246935,-64000,0,0,999,1,13.00
247055,3925504,26,974,0,0,6.00
247180,4015616,4,996,0,0,7.00
247306,4015616,4,996,0,0,8.00
247432,4015616,4,996,0,0,7.00
247556,3925504,26,974,0,0,7.00
247681,3925504,26,974,0,0,7.00
247807,3925504,26,974,0,0,34.00
247912,-64000,0,0,1000,1,21.00
248026,4015616,4,996,0,0,7.00
248150,4015616,4,996,0,0,8.00
248276,4015616,4,996,0,0,8.00
248402,3925504,26,974,0,0,7.00
248526,4015616,4,996,0,0,8.00
248651,4015616,4,996,0,0,36.00
248753,-64000,0,0,999,1,23.00
248867,4015616,4,996,0,0,7.00
248993,4015616,4,996,0,0,8.00
249118,4015616,4,996,0,0,34.00
249221,-64000,0,0,1000,0,24.00
249335,4015616,4,996,0,0,29.00
249443,-64000,0,0,1000,1,32.00
249548,3925504,26,974,0,0,22.00
249663,-64000,0,0,1000,0,35.00
249768,3925504,26,974,0,0,8.00
249893,4015616,4,996,0,0,7.00
250017,4015616,4,996,0,0,18.00
250132,-64000,0,0,1000,0,35.00
250237,4015616,4,996,0,0,7.92
250362,3921408,27,973,0,0,6.93
250485,4015616,4,996,0,0,8.00
250611,3921408,27,973,0,0,8.00
250736,4015616,4,996,0,0,8.00
250862,4015616,4,996,0,0,8.00
250987,4015616,4,996,0,0,7.00
251110,3925504,26,974,0,0,16.00
251229,-64000,0,0,1000,1,45.54
251322,4015616,4,996,0,0,7.92
251448,4015616,4,996,0,0,10.89
251571,-64000,0,0,999,1,46.00
