FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
420715,-128,0,0,0,2,13.00
420837,7957504,26,1974,0,0,12.00
420962,6933504,8,1724,0,0,13.86
421087,8031232,8,1992,0,0,13.00
421211,8031232,8,1992,0,0,13.86
421336,8031232,8,1992,0,0,12.00
421460,6925312,7,1649,269,75,54.00
421553,3951616,4,996,1000,1,55.00
421642,3861504,26,974,999,0,13.00
421767,7941120,30,1970,0,0,14.00
421891,7183360,30,1720,184,66,59.00
421965,-128000,0,0,2000,0,62.00
422051,-128000,0,0,1999,1,56.00
422141,3951616,4,996,1000,0,52.00
422233,3951616,4,996,1000,0,52.00
422326,3951616,4,996,1000,0,60.00
422413,3951616,4,996,1000,299,48.00
422495,3861504,26,974,999,1,49.00
422574,3861504,26,255,999,744,18.00
422698,8031232,8,1992,0,0,15.00
422823,8027136,9,1991,0,0,47.00
422920,3951616,4,996,1000,0,56.00
423013,3238912,4,822,1107,67,57.00
423099,3951616,4,996,1000,0,51.00
423191,3951616,4,996,1000,0,52.00
423285,-128000,0,0,1999,0,61.00
423357,-128000,0,0,1999,1,23.76
423476,8031232,8,1992,0,0,13.86
423602,8031232,8,1992,0,0,13.00
423726,7937024,31,1969,0,0,13.00
423851,7937024,31,1969,0,0,14.85
423976,8031232,8,1992,0,0,13.00
424101,8031232,8,1992,0,0,15.00
424226,8027136,9,1991,0,0,13.00
424351,8027136,9,1991,0,0,15.00
424476,7937024,31,1969,0,0,14.00
424602,7937024,31,1969,0,0,56.00
424688,3951616,4,996,1000,1,59.00
424773,3951616,4,996,999,0,15.00
424896,8031232,8,1992,0,0,12.87
425021,8031232,8,1992,0,0,47.00
425102,3861504,26,974,1000,0,50.00
425177,3861504,26,974,999,1,48.00
425276,3951616,4,996,1000,0,52.00
425371,3951616,4,996,1000,0,49.00
