FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
401097,0,0,0,0,500,3.00
401114,7941120,30,1970,0,0,1.00
401130,7916544,26,1964,0,10,13.00
401146,3861504,26,974,1000,0,12.00
401162,3853312,26,972,1000,2,2.00
401179,7941120,30,1970,0,0,2.00
401195,4201472,6,1057,0,1133,2.00
401212,7941120,30,1970,0,0,3.00
401229,7900160,30,1950,0,22,2.00
401245,7957504,26,1974,0,0,2.00
401262,7908352,28,1641,0,331,12.00
401278,3951616,4,996,1000,0,11.00
401294,3951616,4,996,1000,0,3.00
401311,8031232,8,1992,0,0,3.00
401327,7998464,8,1984,0,8,2.00
401344,8027136,9,1991,0,0,2.00
401361,4049920,4,1020,0,1063,9.00
401377,3857408,27,973,1000,0,13.00
401393,3353600,4,850,1000,146,2.00
401410,8031232,8,1992,0,0,3.00
401427,6605824,7,1644,1,348,2.00
401443,8031232,8,1992,0,0,3.00
401460,6073344,7,1514,0,479,2.00
401477,8031232,8,1992,0,0,2.00
401494,7605248,8,1888,0,104,13.00
401509,3861504,26,974,1000,0,13.00
401525,1256448,2,338,1000,660,2.00
401542,8031232,8,1992,0,0,3.00
401559,8031232,8,1992,0,0,3.00
401575,7941120,30,1970,0,0,2.00
401592,2423808,3,623,0,1430,3.00
401609,8031232,8,1992,0,0,2.00
401626,7027712,8,1747,0,245,20.00
401640,-128000,0,0,1999,0,21.00
401654,-128000,0,0,2000,1,3.00
401671,8031232,8,1992,0,0,2.00
401687,8031232,8,1992,0,0,3.00
401704,8031232,8,1992,0,0,2.00
401721,8031232,8,1992,0,1500,3.00
401737,8031232,8,1992,0,0,2.00
401754,6040576,6,1506,0,488,12.00
401770,3951616,4,996,1000,0,10.00
401786,3951616,4,996,1000,0,12.00
401802,3951616,4,996,1000,0,12.00
401818,3951616,4,996,1000,0,2.00
