FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
627585,-18304,0,0,0,286,10.00
627597,15998464,16,3984,1000,0,9.00
627609,15998464,16,3984,1000,0,11.00
627621,2838016,4,771,1000,3225,4.00
627633,19987968,42,4958,0,0,4.00
627646,19987968,42,4958,0,0,3.00
627658,12328448,15,3088,0,1897,15.00
627670,11828736,34,2966,2000,0,19.00
627680,11828736,34,2966,2000,0,17.00
627691,818688,2,278,2000,2720,10.00
627703,15998464,16,3984,1000,0,11.00
627715,15998464,16,3984,1000,0,12.00
627726,11156992,12,2802,999,1186,11.00
627738,15904256,39,3961,1000,0,10.00
627750,15904256,39,3961,1000,0,11.00
627761,15117824,33,3769,1001,197,12.00
627773,15941120,30,3970,1000,0,11.00
627784,15941120,30,3970,1000,0,11.00
627796,13495808,30,3373,1086,511,18.00
627807,7749120,30,1970,3000,0,23.00
627817,7749120,30,1970,3000,0,25.00
627828,724480,1,255,3000,1744,11.00
627840,15908352,38,3962,1000,0,11.00
627851,15908352,38,3962,1000,0,11.00
627863,12115456,14,3036,1000,950,5.00
627875,20073984,21,4979,0,0,3.00
627888,20073984,21,4979,0,0,4.00
627901,19103232,20,4742,0,238,21.00
627911,7839232,8,1992,3000,0,23.00
627922,7839232,8,1992,2999,0,24.00
627932,3759616,4,996,3000,1000,17.00
627943,11824640,35,2965,2000,0,19.00
627954,11824640,35,2965,2000,0,18.00
627965,11824640,35,2965,2000,0,21.00
627975,7749120,30,1970,3000,0,24.00
627985,7749120,30,1970,3000,0,24.00
627995,7749120,30,1970,3000,0,8.00
628007,19987968,42,4958,0,0,4.00
628020,19987968,42,4958,0,0,3.00
628032,19987968,42,4958,0,0,11.00
628044,15908352,38,3962,1000,0,10.00
628055,15908352,38,3962,1000,0,11.00
628067,15908352,38,3962,1000,277,16.00
628078,11828736,34,2966,2000,0,17.00
628089,11828736,34,2966,1999,0,18.00
