FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
601757,-64,0,0,0,1,12.00
601773,15908352,38,3962,1000,0,7.00
601789,19987968,42,4895,0,63,21.00
601804,7835136,9,1991,3000,0,20.00
601818,11918848,12,2988,2000,0,21.00
601833,11918848,12,2988,2000,0,22.00
601847,7839232,8,1992,3000,0,18.00
601862,11828736,34,2966,2000,0,18.00
601876,11845120,30,2970,2000,0,14.00
601891,15994368,17,3983,1000,0,22.00
601905,7835136,9,1991,3000,0,14.00
601920,15953408,27,3973,1000,0,25.00
601934,7839232,8,1992,3000,0,10.00
601950,20020736,34,4966,0,0,14.00
601965,11828736,34,2966,2000,0,14.00
601981,19987968,42,4958,0,0,10.00
601996,15920640,35,3965,1000,0,11.00
602012,19987968,42,4958,0,0,9.00
602028,15924736,34,3966,1000,0,11.00
602044,20016640,35,4965,0,0,12.00
602060,15924736,34,3966,1000,0,9.00
602076,20020736,34,4966,0,0,7.00
602093,11828736,34,2966,2000,0,14.85
602108,11832832,33,2967,2000,0,20.00
602123,7839232,8,1992,2586,414,27.00
602136,15998464,16,3984,0,1000,12.00
602152,6213120,7,1956,1999,399,25.00
602165,11841024,31,2969,2000,0,11.00
602181,20004352,38,4962,0,0,12.00
602197,11828736,34,2966,2000,0,18.00
602212,17149440,39,4265,0,696,8.00
602228,15920640,35,3965,1000,0,20.00
602242,11841024,31,2969,2000,0,12.00
602257,20073984,21,4979,0,0,9.00
602273,15859200,38,3950,1000,12,13.00
602289,19811840,42,4915,0,43,13.00
602304,15908352,38,3962,1000,0,7.00
602321,20037120,30,4970,0,0,12.00
602336,11845120,30,2970,2000,0,18.00
602351,7749120,30,1970,3000,1,24.00
602365,11828736,34,2966,2000,0,15.00
602380,20004352,38,4962,0,0,6.00
602396,20037120,30,4970,0,0,13.00
602412,15908352,38,3962,1000,0,12.00
602427,11845120,30,2970,1597,403,18.00
