FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
416540,-64,0,0,0,1,22.00
416576,3861504,26,974,1000,0,23.00
416610,3861504,26,974,1000,0,6.00
416651,8031232,8,1992,0,0,5.00
416693,3951616,4,996,0,1000,22.00
416730,3951616,4,996,1000,0,24.00
416767,39936,1,41,1000,958,6.00
416808,7941120,30,1970,0,0,5.00
416849,8031232,8,1992,0,0,5.00
416891,8031232,8,1992,0,0,4.00
416933,7937024,31,1969,0,0,5.00
416975,7941120,30,1970,0,0,6.00
417017,8027136,9,1991,0,0,5.00
417058,7941120,30,1970,0,0,5.00
417100,6683648,29,1663,177,131,22.00
417134,3861504,26,974,1000,0,25.00
417167,3861504,26,974,1000,0,6.00
417208,7941120,30,1970,0,0,4.00
417250,4049920,4,1020,0,976,25.00
417286,3947520,5,995,1000,0,25.00
417323,3853312,4,972,1000,24,5.00
417365,8031232,8,1992,0,0,5.00
417407,7642112,8,1897,18,77,26.00
417444,3951616,4,996,1000,0,26.00
417480,3951616,4,996,1000,0,5.00
417521,7941120,30,1970,0,0,5.00
417563,7941120,30,1970,0,0,5.00
417605,8031232,8,1992,0,0,5.00
417647,8031232,8,1892,0,100,24.00
417680,3861504,26,974,1000,0,21.00
417714,3861504,26,974,1000,0,5.00
417756,8031232,8,1992,0,0,5.00
417798,8031232,8,1992,0,0,5.00
417840,8031232,8,1992,0,0,5.00
417882,6052864,8,1509,10,473,5.00
417924,7937024,31,1969,0,0,4.00
417965,7572480,31,1880,0,89,25.00
418001,3951616,4,996,1000,0,27.00
418037,3640320,4,920,1000,76,25.00
418074,3951616,4,996,1000,0,25.00
418111,3951616,4,996,1000,0,24.00
418148,3951616,4,996,1000,0,26.00
418184,3951616,4,996,1000,0,7.00
418226,8031232,8,1992,0,0,5.00
418268,8031232,8,1992,0,512,4.00
