FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
583808,-320,0,0,0,5,14.00
583827,11909120,30,2970,1000,0,12.00
583846,11909120,30,2970,1000,0,15.00
583865,11909120,30,2970,1000,0,16.00
583883,11892736,34,2966,1000,0,16.00
583902,11892736,34,2966,1000,0,15.00
583920,7813120,30,1970,1000,1000,5.00
583941,15972352,38,3962,0,0,5.00
583962,15972352,38,3962,0,0,5.00
583982,15071232,38,3742,0,220,15.00
584002,11982848,12,2988,1000,0,16.00
584021,11982848,12,2988,1000,0,16.00
584041,-256000,1,778,1000,2048,5.00
584062,15972352,38,3962,0,0,4.00
584083,15972352,38,3962,0,0,6.00
584103,14600192,35,3627,0,338,29.00
584119,3733504,26,974,3000,0,35.00
584134,3733504,26,974,3000,0,35.00
584148,3733504,26,974,3000,0,6.00
584169,15988736,34,3966,0,0,4.00
584190,15988736,34,3966,0,0,6.00
584211,15972352,38,3962,0,0,15.00
584229,11909120,30,2970,1000,0,16.00
584247,11909120,30,2970,1000,0,17.00
584265,11876352,27,2973,1000,0,14.00
584284,11909120,30,2970,999,0,16.00
584302,11909120,30,2970,1000,0,17.00
584320,11864064,30,2959,1000,11,5.00
584341,16005120,30,3970,0,0,4.00
584362,16005120,30,3970,0,0,5.00
584383,15988736,34,3966,0,0,16.00
584401,11909120,30,2970,1000,0,16.00
584419,11909120,30,2970,1000,0,16.00
584438,11921408,27,2973,1000,0,15.00
584456,11892736,34,2966,1000,0,15.00
584475,11892736,34,2966,1000,0,17.00
584493,4016128,5,1043,1000,1952,15.00
584512,11982848,12,2988,1000,0,16.00
584531,11982848,12,2988,1000,0,16.00
584549,11982848,12,2988,1000,0,15.00
584568,11884544,36,2964,1000,0,16.00
584586,11884544,36,2964,1000,0,15.00
584605,7337984,31,1854,1451,664,22.00
584622,7813120,30,1970,2000,0,22.77
584639,7813120,30,1970,2000,0,27.00
