FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
494214,-15936,0,0,0,249,4.00
494229,12046848,12,2988,0,0,2.00
494245,-192000,0,0,0,3000,3.00
494260,11956736,34,2966,0,0,3.00
494276,10834432,34,2692,0,274,19.00
494290,3797504,26,974,2000,0,18.00
494304,3797504,0,0,2000,1000,4.00
494319,11956736,34,2966,0,0,3.00
494335,11956736,34,2966,0,0,4.00
494351,12046848,12,2988,0,0,3.00
494366,8065536,8,2016,0,976,12.00
494381,7967232,8,1992,1000,0,12.00
494396,-192000,0,0,1000,2000,10.00
494411,7967232,8,1992,1000,0,11.00
494426,3592704,5,924,1000,1071,11.00
494441,7893504,26,1974,1000,0,12.00
494456,3973632,27,1017,1000,956,5.00
494471,11956736,34,2966,0,0,3.00
494487,11932160,34,2960,0,6,4.00
494503,11956736,34,2966,0,0,3.00
494518,11956736,34,2966,0,0,11.00
494533,7873024,31,1969,1000,0,12.00
494548,3691008,4,948,1000,1048,13.00
494563,7967232,8,1992,1000,0,12.00
494578,7967232,8,1992,1000,0,4.00
494593,11969024,31,2969,0,0,2.00
494609,11969024,31,2969,0,0,4.00
494625,11956736,34,2966,0,0,3.00
494640,11833856,34,2936,0,30,12.00
494655,7967232,8,1992,1000,0,10.00
494670,7967232,8,1992,999,1001,18.00
494684,3887616,4,996,2000,0,21.00
494697,3887616,4,996,2000,0,6.00
494712,11956736,34,2966,0,0,3.00
494728,11956736,34,2966,0,0,18.00
494742,3797504,26,974,1999,0,21.00
494756,3797504,26,974,2000,0,10.00
494771,7877120,30,1970,1000,0,13.00
494785,7877120,30,1970,1000,0,4.00
494801,12046848,12,2988,0,0,3.00
494817,12046848,12,2988,0,0,4.00
494832,12046848,12,2988,0,0,3.00
494848,12046848,12,2988,0,0,10.00
494863,7967232,8,1992,1000,0,12.00
494878,6922752,7,1737,1000,256,11.00
