FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
513178,-64,0,0,0,1,8.00
513189,7877120,30,1970,1000,0,9.00
513201,7877120,30,1970,1000,0,9.00
513213,5718528,27,1443,1000,530,10.00
513224,7877120,30,1970,1000,0,9.00
513236,7877120,30,1970,1000,0,9.00
513247,3621376,15,931,1012,1042,13.00
513258,3797504,26,974,2000,0,18.00
513269,3797504,26,974,2000,0,17.00
513280,-192000,0,0,2000,1000,5.00
513292,11956736,34,2966,0,0,2.00
513304,11956736,34,2966,0,0,2.00
513315,10949120,34,2720,0,246,16.00
513326,3887616,4,996,2000,0,17.00
513337,3887616,4,996,2000,0,17.00
513347,3887616,4,996,2000,0,10.00
513359,7877120,30,1970,1000,0,8.00
513370,7877120,30,1970,1000,0,10.00
513382,4030976,5,1031,999,2000,4.00
513393,11956736,34,2966,0,0,2.00
513405,11956736,34,2966,0,0,3.00
513417,4252160,6,1085,0,1909,2.00
513429,11973120,30,2970,0,0,3.00
513441,11973120,30,2970,0,0,2.00
513453,9912832,26,2467,0,1007,3.00
513465,11973120,30,2970,0,0,3.00
513477,11973120,30,2970,0,0,1.00
513489,9265664,28,2309,0,663,10.00
513501,7963136,9,1991,1000,0,10.00
513512,7963136,9,1991,1000,0,9.00
513524,3887616,4,996,1000,1000,10.00
513535,7877120,30,1970,1000,0,8.00
513547,7877120,30,1970,1000,0,12.00
513558,7848448,27,1963,1000,10,9.00
513570,7877120,30,1970,1000,0,10.00
513581,7877120,30,1970,1000,0,10.00
513593,4243968,6,1083,1000,911,3.00
513605,11973120,30,2970,0,0,3.00
513617,11973120,30,2970,0,0,3.00
513629,11153920,33,2770,0,197,3.00
513641,12046848,12,2988,0,0,2.00
513653,12046848,12,2988,0,0,3.00
513665,12046848,12,2988,0,91,13.00
513676,3887616,4,996,2000,0,18.00
513686,3887616,4,996,2000,0,15.00
