FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
581134,-64,0,0,0,1519,31.00
581170,7903232,8,1992,2000,0,38.00
581199,7903232,8,1992,2000,1,39.00
581228,-79872,1,43,2000,1956,11.00
581269,15972352,38,3962,0,0,9.00
581311,15972352,38,3962,0,0,8.00
581352,14714880,38,3655,104,203,35.64
581383,7813120,30,1970,2000,0,43.00
581409,7813120,30,1970,2000,0,42.00
581436,7813120,30,1970,2000,0,12.00
581478,15972352,38,3962,0,0,9.00
581519,15972352,38,3962,0,0,11.00
581561,15136768,35,3245,0,720,34.00
581591,7895040,10,1990,2000,0,41.00
581618,7895040,10,1990,2000,0,39.00
581647,3823616,4,996,2000,1000,11.00
581688,15972352,38,3962,0,0,10.00
581730,15972352,38,3962,0,0,10.00
581771,15964160,40,3960,0,0,22.00
581807,11978752,13,2987,1000,0,25.00
581841,11978752,13,2987,1000,0,29.00
581873,11982848,12,2988,1000,0,27.00
581909,11982848,12,2988,1000,0,31.00
581946,11982848,12,2988,1000,0,29.00
581982,8681472,32,2182,1501,285,34.00
582014,7809024,31,1969,2000,0,44.00
582041,7809024,31,1969,2000,1,43.00
582068,7903232,8,1992,1999,1,35.00
582100,7809024,31,1969,2000,0,43.00
582127,7809024,31,1969,2000,0,38.00
582158,3733504,26,974,2957,44,40.00
582186,7829504,26,1974,2000,0,43.00
582213,7829504,26,1974,2000,0,42.00
582240,11909120,30,2970,1000,0,10.00
582282,15972352,38,3962,0,0,9.00
582324,15972352,38,3962,0,0,10.00
582365,15972352,38,3962,0,0,10.00
582407,15984640,35,3965,0,0,10.00
582448,15984640,35,3965,0,0,9.00
582490,15984640,35,3965,0,0,35.00
582521,7899136,9,1991,2000,0,41.00
582548,7899136,9,1991,2000,0,43.00
582576,7813120,30,1970,2000,0,41.00
582605,3733504,26,974,2999,1,52.00
582628,3733504,26,974,2999,0,51.00
