FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
582654,-64,0,0,0,1,6.00
582681,16062464,16,3984,0,0,5.00
582709,16062464,16,3984,0,0,7.00
582737,3823616,4,996,0,3000,6.00
582765,16062464,16,3984,0,0,6.00
582793,16062464,16,3984,0,0,6.00
582820,8214528,29,2068,0,1903,7.00
582848,16009216,29,3971,0,0,6.00
582876,16009216,29,3971,0,0,5.00
582904,9869312,30,2406,179,1385,29.00
582927,7899136,9,1991,2000,0,34.00
582948,7899136,9,1991,2000,0,31.00
582970,4855808,6,1248,2350,396,21.00
582994,11978752,13,2987,1000,0,17.00
583019,11978752,13,2987,1000,0,22.00
583044,11982848,12,2988,1000,0,7.00
583072,15968256,39,3961,0,0,6.00
583100,15968256,39,3961,0,0,7.00
583127,15423488,16,3828,0,156,7.00
583155,16058368,17,3983,0,0,6.00
583183,16058368,17,3983,0,0,6.00
583211,8394752,27,2112,568,1293,20.00
583234,11905024,31,2969,1000,0,21.00
583257,11905024,31,2969,1000,0,17.00
583282,6957056,7,1761,0,2232,6.00
583310,16062464,16,3984,0,0,7.00
583338,16062464,16,3984,0,0,6.00
583366,13883392,36,3452,0,512,22.00
583389,11888640,35,2965,1000,0,17.00
583413,11888640,35,2965,1000,0,21.00
583437,10283008,27,2027,1268,678,32.00
583457,7829504,26,1974,2000,0,33.00
583477,7829504,26,1974,2000,0,32.00
583497,7813120,30,1970,1900,100,17.00
583522,11892736,34,2966,1000,0,20.00
583545,11892736,34,2966,1000,0,22.00
583568,8955904,31,2249,1000,720,7.00
583596,16001024,31,3969,0,0,6.00
583624,16001024,31,3969,0,0,7.00
583651,15964160,34,3960,0,6,7.00
583679,15972352,38,3962,0,0,6.00
583707,15972352,38,3962,0,0,8.00
583735,12752896,35,3176,0,789,18.00
583758,11892736,34,2966,1000,0,17.00
583783,11892736,34,2966,1000,0,22.00
