FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
277164,-1600,0,0,0,25,4.00
277247,4015616,4,996,0,0,4.00
277331,2024960,2,510,0,488,5.00
277415,4015616,4,996,0,0,5.00
277498,4015616,4,996,0,0,5.00
277582,4015616,4,996,0,0,4.00
277664,3925504,26,974,0,0,4.95
277747,3925504,26,974,0,0,4.95
277831,4015616,4,996,0,0,4.95
277915,4015616,4,996,0,0,5.00
277999,3048960,4,673,235,89,40.00
278064,-64000,0,0,1000,1,37.00
278130,-64000,0,0,999,0,5.00
278214,4015616,4,996,0,0,5.00
278298,4015616,4,996,0,0,5.00
278381,4015616,4,996,0,0,5.00
278465,2401792,3,602,0,395,5.00
278550,3921408,27,973,0,0,5.00
278633,2020864,2,509,0,0,5.00
278717,4015616,4,996,0,0,5.00
278801,4015616,4,996,0,0,5.00
278884,4015616,4,996,0,0,5.00
278967,3925504,26,974,0,0,5.00
279051,3925504,26,974,0,0,5.00
279134,980480,1,255,0,0,5.00
279218,4015616,4,996,0,0,6.00
279300,3921408,27,973,0,0,4.00
279384,3921408,27,973,0,0,5.00
279467,2577920,4,996,0,0,5.00
279551,4015616,4,996,0,0,6.00
279634,4015616,4,996,0,0,4.00
279718,4015616,4,996,0,0,5.00
279802,4015616,4,996,0,0,5.00
279885,4015616,4,996,0,0,6.00
279968,3888640,27,965,0,0,4.00
280052,3925504,26,974,0,0,6.00
280135,3548672,4,996,0,0,4.00
280220,4015616,4,996,0,0,6.00
280303,3868160,27,960,0,13,5.00
280386,3925504,26,974,0,0,5.00
280470,980480,1,255,0,744,5.00
280553,4015616,4,996,0,0,5.00
280636,3896832,27,967,0,6,5.00
280720,3925504,26,974,0,0,5.00
280803,980480,3,996,0,0,5.00
