FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
378165,-512,0,0,0,8,4.00
378196,7941120,30,956,0,684,17.00
378225,3951616,4,996,1007,552,4.00
378256,7941120,30,1970,0,539,4.00
378288,8031232,8,1992,0,528,17.00
378317,3951616,4,0,1000,570,15.00
378346,916480,1,255,1000,744,6.00
378377,7932928,8,1968,0,24,28.00
378403,-128000,0,0,2000,0,18.00
378431,3951616,4,996,1000,0,20.00
378458,3861504,26,974,1000,0,15.00
378485,3861504,26,974,1000,0,19.00
378513,3951616,4,996,1000,0,19.00
378542,3951616,4,996,1000,1,12.00
378570,7957504,26,1974,0,0,5.00
378602,7941120,30,1970,0,0,5.00
378633,7957504,26,1974,0,0,5.00
378664,8027136,9,1991,0,0,11.00
378694,3951616,4,996,1000,0,13.00
378723,7941120,30,1970,0,0,19.00
378750,-128000,0,0,2000,0,26.00
378776,-128000,0,0,1999,0,25.00
378803,-128000,0,0,2000,1,22.00
378830,8031232,8,1992,0,0,11.00
378860,-128000,0,0,2000,0,25.00
378887,8031232,8,1992,0,0,4.00
378918,8031232,8,1992,0,0,5.00
378949,7937024,31,1969,0,0,5.00
378980,8031232,8,1992,0,0,4.00
379012,8027136,9,1991,0,0,5.00
379043,7937024,31,1969,0,0,10.00
379072,3951616,4,996,1000,0,17.00
379099,3861504,26,974,1000,0,15.00
379127,7941120,30,1970,0,0,5.00
379158,8027136,9,1991,0,0,5.00
379189,3857408,27,973,977,23,18.00
379216,7941120,30,1970,0,0,5.00
379247,8031232,8,1992,0,0,7.00
379278,3951616,4,996,1000,0,17.00
379307,8027136,9,1991,0,0,6.00
379338,3951616,4,996,1000,0,17.00
379366,3951616,4,996,1000,0,19.00
379395,3951616,4,996,1000,0,18.00
379422,3951616,4,996,755,245,20.00
379449,3861504,26,974,1000,0,20.00
