FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
209188,-768,0,0,0,12,2.00
209215,4015616,4,996,0,0,2.00
209243,3925504,26,974,0,3,2.00
209271,3925504,26,974,0,0,13.00
209297,-64000,0,0,1000,0,16.00
209323,-64000,0,0,1000,0,4.00
209351,3925504,26,974,0,0,12.00
209377,-64000,0,0,1000,0,4.00
209405,3925504,26,974,0,0,2.00
209433,4015616,4,996,0,0,3.00
209461,3925504,26,974,0,0,14.00
209489,-64000,0,0,1000,0,16.00
209517,-64000,0,0,1000,0,7.00
209544,3925504,26,974,0,0,2.00
209572,4015616,4,996,0,0,10.00
209599,-64000,0,0,1000,0,9.00
209627,4015616,4,996,0,0,2.00
209655,4015616,4,996,0,0,2.00
209683,4015616,4,996,0,0,3.00
209711,3925504,26,974,0,0,9.00
209737,-64000,0,0,1000,0,16.00
209763,-64000,0,0,1000,0,10.00
209790,4015616,4,996,0,0,3.00
209818,4015616,4,996,0,0,2.00
209845,4015616,4,996,0,0,2.00
209873,4015616,4,996,0,0,2.00
209901,4015616,4,996,0,0,7.00
209928,-64000,0,0,1000,0,13.00
209954,3925504,26,974,0,0,2.00
209982,4015616,4,996,0,0,6.00
210010,-64000,0,0,999,0,13.00
210038,3925504,26,974,0,0,2.00
210066,3925504,26,974,0,0,2.00
210094,3925504,26,974,0,0,3.96
210121,-64000,0,0,1000,0,13.86
210147,3925504,26,974,0,0,2.00
210175,4015616,4,996,0,0,3.00
210203,3925504,26,974,0,0,3.00
210231,-64000,0,0,1000,0,15.00
210257,3925504,26,974,0,0,2.00
210285,3925504,26,974,0,0,3.00
210313,4015616,4,996,0,0,2.00
210341,3925504,26,974,0,0,3.00
210369,3925504,26,974,0,0,1.00
210397,2356736,26,591,382,118,19.00
