FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
626940,-960,0,0,0,15,5.00
626955,20037120,30,4970,0,0,3.00
626971,20037120,30,4970,0,0,5.00
626987,17571328,29,4368,0,603,13.00
627001,15998464,16,3984,1000,0,12.00
627015,15998464,16,3984,1000,0,12.00
627030,15908352,16,3962,1000,199,23.00
627043,7835136,9,1991,3000,0,30.00
627055,7835136,9,1991,3000,0,29.00
627067,2485760,3,685,3000,1312,20.00
627081,7839232,8,1992,3000,0,30.00
627094,7839232,8,1992,3000,0,31.00
627106,3878400,5,1025,3000,970,13.00
627120,15924736,34,3966,1000,0,13.00
627134,15924736,34,3966,1000,0,13.00
627149,8568320,30,2170,1000,1800,8.00
627164,20073984,21,4979,0,0,3.00
627180,20073984,21,4979,0,0,5.00
627196,19713536,21,4891,0,88,26.00
627209,7839232,8,1992,3000,0,27.00
627222,7839232,8,1992,3000,0,32.00
627234,7839232,8,1992,3000,0,16.00
627248,15994368,17,3983,1000,0,13.00
627263,15994368,17,3983,1000,0,14.00
627278,15998464,16,3984,1000,0,5.00
627293,20078080,20,4980,0,0,4.00
627309,20078080,20,4980,0,0,4.00
627325,12172800,14,3050,232,1704,15.00
627339,15916544,36,3964,1000,0,13.00
627353,15916544,36,3964,1000,1,11.00
627368,16076288,33,4003,500,1305,13.00
627382,15924736,34,3966,1000,0,13.00
627397,15924736,34,3966,1000,0,13.00
627411,11845120,30,2970,1000,1000,15.00
627425,15904256,39,3961,1000,0,11.00
627439,15904256,39,3961,1000,0,14.00
627453,11398656,13,2977,1000,1010,13.00
627468,15908352,38,3962,1000,0,13.00
627482,15908352,38,3962,1000,0,14.00
627496,12729856,35,3186,1000,779,8.00
627511,15986176,19,3981,1000,0,13.00
627526,15986176,19,3981,1000,0,12.00
627541,12856832,32,3217,1057,694,15.00
627555,15941120,30,3970,1000,0,14.00
627569,15941120,30,3970,999,1,12.00
