FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
512417,-64,0,0,0,1,4.00
512434,11956736,34,2966,0,0,3.00
512452,11956736,34,2966,0,0,4.00
512470,3940864,5,1009,0,2225,14.00
512487,7877120,30,1970,1000,0,15.00
512503,7877120,30,1970,1000,0,13.00
512521,3244544,4,839,1000,1157,4.00
512538,11956736,34,2966,0,0,3.00
512556,11956736,34,2966,0,0,4.00
512574,10744320,33,2670,0,297,14.00
512591,7967232,8,1992,1000,0,14.00
512608,7967232,8,1992,1000,0,14.00
512625,7873024,31,1700,1000,270,14.00
512642,7877120,30,1970,999,0,14.00
512659,7877120,30,1970,1000,0,13.00
512676,3887616,4,996,999,1000,5.00
512694,11973120,30,2970,0,0,4.00
512712,11973120,30,2970,0,0,3.00
512730,10514944,31,2614,0,355,14.00
512747,7967232,8,1992,1000,0,14.00
512763,7967232,8,1992,1000,0,14.00
512780,7504384,8,1879,1000,113,14.00
512797,7963136,9,1991,1000,0,14.00
512814,7963136,9,1991,1000,0,14.00
512831,7967232,8,1992,1000,0,21.00
512847,3887616,4,996,2000,0,24.00
512862,3887616,4,996,2000,0,24.00
512877,3797504,26,974,2000,0,13.00
512894,7877120,30,1970,1000,0,15.00
512911,7877120,30,1970,1000,0,15.00
512927,7963136,9,1991,1000,0,20.00
512943,3887616,4,996,2000,0,23.00
512958,3887616,4,996,1999,0,23.00
512974,3797504,26,974,2000,0,14.00
512991,7877120,30,1970,1000,0,14.00
513007,7877120,30,1970,1000,0,15.00
513024,7963136,9,1991,1000,0,12.00
513042,7967232,8,1992,1000,0,13.00
513059,7967232,8,1992,1000,0,15.00
513075,7877120,30,1970,1000,0,7.00
513093,11969024,31,2969,0,0,3.00
513111,11969024,31,2969,0,0,4.00
513129,7877120,30,1970,769,231,20.00
513145,3887616,4,996,2000,0,24.00
513160,3887616,4,996,2000,1,24.00
