FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
214847,-1024,0,0,0,16,2.00
214888,4015616,4,996,0,0,3.00
214930,3659264,4,909,0,87,23.00
214967,-64000,0,0,1000,0,3.00
215009,4015616,4,996,0,0,3.00
215051,3925504,26,974,0,0,2.00
215092,4015616,4,996,0,0,3.00
215134,3925504,26,974,0,0,2.00
215176,4015616,4,996,0,0,3.00
215218,4015616,4,996,0,0,3.00
215259,4015616,4,996,0,0,3.00
215301,3925504,26,974,0,0,21.00
215338,-64000,0,0,1000,0,22.00
215375,-64000,0,0,1000,0,5.00
215416,3925504,26,974,0,0,3.00
215458,3925504,26,974,0,0,3.00
215499,3925504,26,974,0,0,3.00
215541,3925504,26,974,0,0,19.00
215578,-64000,0,0,1000,0,20.00
215616,-64000,0,0,1000,0,9.00
215656,4015616,4,996,0,0,3.00
215698,4015616,4,996,0,0,15.00
215737,-64000,0,0,999,0,19.00
215775,-64000,0,0,1000,0,12.00
215815,4015616,4,996,0,0,3.00
215856,4015616,4,996,0,0,3.00
215898,4015616,4,996,0,0,4.00
215940,4015616,4,996,0,0,2.00
215982,4015616,4,996,0,0,3.00
216024,4015616,4,996,0,0,3.00
216066,4015616,4,996,0,0,3.00
216107,3921408,27,973,0,0,13.00
216147,-64000,0,0,1000,0,14.00
216185,4015616,4,996,0,0,3.00
216227,4015616,4,996,0,0,3.00
216269,4015616,4,996,0,0,3.00
216310,4015616,4,996,0,0,10.00
216349,-64000,0,0,1000,0,18.00
216387,4015616,4,996,0,0,7.00
216428,-64000,0,0,1000,0,22.00
216465,-64000,0,0,1000,0,18.00
216503,4015616,4,996,0,0,3.00
216545,4015616,4,996,0,0,3.00
216587,3921408,27,973,0,0,3.00
216628,4015616,4,996,0,0,3.00
