FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
604028,-16512,0,0,0,258,7.00
604055,17202688,36,3686,0,1036,28.00
604078,11824640,35,2965,2000,0,29.00
604099,11845120,30,2970,2000,0,29.00
604120,11841024,31,2969,2000,0,21.00
604144,15908352,38,3962,1000,0,13.00
604170,15924736,34,3966,1000,0,10.00
604197,19987968,42,4958,0,0,35.00
604217,7745024,31,1969,3000,0,10.00
604245,19987968,42,4958,0,0,18.00
604269,15941120,30,3970,1000,0,33.00
604289,7835136,9,1991,2999,1,27.00
604311,11828736,34,2966,2000,0,35.00
604331,7749120,30,1970,3000,1,36.00
604351,7839232,8,1992,2999,0,25.00
604374,15941120,30,3970,1000,0,21.00
604397,15904256,39,3961,1000,0,18.00
604423,15908352,38,3962,1000,0,25.00
604445,11828736,34,2966,2000,0,24.00
604468,15937024,31,3969,1000,0,17.00
604494,19987968,42,4958,0,0,11.00
604521,19987968,42,4958,0,0,9.00
604548,19987968,42,4958,0,0,22.00
604572,7831040,10,1990,3000,0,32.00
604593,7745024,31,1969,3000,0,21.00
604617,20004352,38,4962,0,0,20.00
604641,7749120,30,1970,3000,0,28.00
604663,11841024,31,2969,2000,0,24.00
604686,19987968,42,4958,0,0,11.00
604713,20020736,34,4966,0,0,17.00
604739,11828736,34,2966,2000,0,30.00
604760,11828736,34,2966,2000,0,23.00
604784,15998464,16,3984,999,0,20.00
604808,11914752,13,2987,2000,1,23.00
604831,20012544,36,4964,0,0,11.00
604858,20065792,23,4977,0,0,9.00
604886,20004352,38,4962,0,0,9.00
604913,19987968,42,4958,0,0,11.00
604940,20000256,39,4961,0,0,11.00
604967,15908352,38,3962,1000,0,22.00
604991,15904256,39,3961,1000,0,18.00
605016,15998464,16,3984,1000,0,20.00
605040,7835136,9,1991,2999,1,32.00
605061,7749120,30,1970,3000,0,32.00
605083,20020736,34,4966,0,0,10.00
