FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
336346,-27968,0,0,0,1000,2.00
336397,4015616,4,996,0,0,3.00
336447,4015616,4,996,0,0,3.00
336497,660992,2,177,0,821,3.00
336547,3921408,27,973,0,0,3.00
336598,3921408,27,973,0,0,2.00
336647,3012096,27,564,221,188,20.00
336693,-64000,0,0,1000,0,28.00
336736,-64000,0,0,1000,0,28.00
336778,-64000,0,0,1000,0,26.00
336821,-64000,0,0,1000,0,28.00
336864,-64000,0,0,1000,0,28.00
336906,-64000,0,0,1000,0,4.00
336957,4015616,4,996,0,0,3.00
337007,4015616,4,996,0,0,3.00
337057,4015616,4,996,0,0,3.00
337108,4015616,4,996,0,0,3.00
337158,4015616,4,996,0,0,3.00
337209,3982848,4,988,0,8,27.00
337252,-64000,0,0,1000,0,25.00
337295,-64000,0,0,1000,1,28.00
337338,-64000,0,0,1000,0,3.00
337388,4015616,4,996,0,0,3.00
337439,4015616,4,996,0,0,3.00
337489,4015616,4,996,0,0,3.00
337539,4015616,4,996,0,0,3.00
337590,4015616,4,996,0,0,3.00
337640,439808,2,123,0,875,3.00
337690,3921408,27,973,0,0,3.00
337741,3921408,27,973,0,0,3.00
337791,4015616,4,996,0,0,3.00
337841,4015616,4,996,0,0,3.00
337892,4015616,4,996,0,0,4.00
337942,4015616,4,996,0,0,3.00
337992,4015616,4,996,0,0,2.00
338042,4015616,4,996,0,0,4.00
338092,4015616,4,996,0,0,3.00
338143,4015616,4,996,0,0,2.00
338193,4015616,4,996,0,0,4.00
338243,4015616,4,996,0,0,3.00
338293,4015616,4,996,0,0,3.00
338343,4015616,4,996,0,0,3.00
338393,1119744,2,289,487,223,28.00
338436,-64000,0,0,1000,0,28.00
338479,-64000,0,0,1000,0,26.00
