FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
440738,-64,0,0,0,1,28.00
440787,3861504,26,974,1000,0,30.00
440834,3861504,26,974,1000,0,33.00
440879,3832832,26,967,1000,7,35.00
440930,3861504,26,974,1000,0,33.00
440974,3861504,26,974,1000,0,30.00
441021,3120128,26,633,1180,161,33.00
441074,3861504,26,974,1000,1,34.00
441118,3861504,26,974,999,0,34.00
441163,3861504,26,974,1000,0,8.00
441226,7941120,30,1970,0,0,7.00
441289,7941120,30,1970,0,0,7.00
441351,5860352,30,1960,0,10,8.00
441414,8031232,8,1992,0,0,7.00
441476,8031232,8,1992,0,0,8.00
441539,8031232,8,1992,0,0,7.00
441602,7937024,31,1969,0,0,7.00
441664,7937024,31,1969,0,0,7.00
441726,7740416,26,1921,0,53,33.00
441771,3861504,26,974,1000,0,33.00
441815,3861504,26,974,999,1,33.00
441860,2288640,26,590,1251,133,32.00
441911,3861504,26,974,1000,0,32.00
441959,3861504,26,974,1000,1,33.00
442003,3861504,26,974,999,0,8.00
442065,7941120,30,1970,0,0,7.00
442128,7941120,30,1970,0,0,7.00
442191,3140608,4,798,0,1198,7.00
442253,8031232,8,1992,0,0,8.00
442316,8031232,8,1992,0,0,8.00
442379,7941120,30,1970,0,0,7.00
442442,7941120,30,1970,0,0,7.00
442504,7941120,30,1970,0,0,7.00
442567,5020672,29,1257,712,307,50.00
442606,-128000,0,0,2000,0,53.00
442646,-128000,0,0,2000,0,52.00
442686,-128000,0,0,2000,1,7.00
442748,8031232,8,1992,0,0,6.00
442810,8031232,8,1992,0,0,8.00
442873,3628032,5,917,0,407,36.00
442922,3861504,26,974,999,0,34.00
442966,3861504,26,974,1000,0,32.00
443018,-128000,3,996,1000,0,7.00
443080,8031232,8,1992,0,0,8.00
443143,8031232,8,1992,0,0,7.00
