FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
584658,-256,0,0,0,4,11.00
584674,11892736,34,2966,1000,0,12.00
584689,11892736,34,2966,1000,0,12.00
584704,6645760,9,1685,1000,1306,18.00
584719,7903232,8,1992,2000,0,22.00
584733,7903232,8,1992,2000,0,19.00
584748,2443264,3,659,2000,1338,17.00
584763,7903232,8,1992,2000,0,20.00
584777,7903232,8,1992,2000,0,22.00
584792,5605376,6,1431,2000,563,5.00
584808,15968256,39,3961,0,0,3.00
584825,15968256,39,3961,0,0,3.00
584842,14071808,14,3498,0,488,5.00
584858,15972352,38,3962,0,0,4.00
584875,15972352,38,3962,0,0,5.00
584892,11044864,33,2759,0,1208,4.00
584909,15972352,38,3962,0,0,4.00
584925,15972352,38,3962,0,0,3.00
584942,13465600,35,2874,17,1428,23.00
584956,7813120,30,1970,2000,0,23.00
584969,7813120,30,1970,2000,0,22.00
584983,5908480,7,1505,2000,488,5.00
584999,16062464,16,3984,0,0,4.00
585016,16062464,16,3984,0,0,4.00
585033,788480,1,255,34,3710,14.00
585048,11892736,34,2966,1000,0,13.00
585063,11892736,34,2966,1000,0,13.00
585078,2877440,3,765,1000,2232,4.00
585095,16062464,16,3984,0,0,4.00
585112,16062464,16,3984,0,0,4.00
585128,4605952,5,1187,39,2769,14.00
585144,11982848,12,2988,1000,0,13.00
585159,11982848,12,2988,1000,0,12.00
585175,9316352,10,2337,672,1168,13.00
585190,11888640,35,2965,1000,0,13.00
585205,11888640,35,2965,1000,0,12.00
585220,5662720,7,1445,1085,2361,22.00
585234,7903232,8,1992,2000,0,18.00
585248,7903232,8,1992,2000,0,21.00
585262,3921920,4,1020,929,2047,13.00
585277,11982848,12,2988,1000,0,13.00
585292,11982848,12,2988,1000,0,13.00
585307,3168256,4,836,1003,2157,12.00
585322,11917312,28,2972,1000,0,14.00
585337,11917312,28,2972,1000,0,12.00
