FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
593580,-18560,0,0,0,290,5.00
593594,20004352,38,4962,0,0,6.00
593607,20004352,38,4962,0,0,10.00
593621,15998464,16,1992,1000,2000,18.00
593633,8785408,9,2223,2000,769,13.00
593646,15908352,38,3962,1000,0,16.00
593659,11845120,30,2970,2000,0,11.00
593672,15924736,34,3966,1000,0,15.00
593685,11824640,35,2965,2000,0,14.00
593698,15908352,38,3962,1000,0,11.00
593712,12692992,35,3177,1000,788,18.00
593724,7835136,9,1991,3000,0,25.00
593736,3759616,4,996,4000,0,13.00
593749,15920640,35,3965,1000,0,17.00
593762,7835136,9,1991,3000,0,13.00
593775,20000256,39,4961,0,0,14.00
593788,11845120,30,2970,2000,0,15.00
593801,15924736,34,3966,1000,0,8.00
593815,20073984,21,4979,0,0,12.00
593828,15998464,16,3984,1000,0,16.00
593841,11828736,34,2966,2000,0,12.00
593854,19987968,42,4958,0,0,9.00
593867,15937024,31,3969,1000,0,7.00
593881,19987968,42,4958,0,0,9.00
593895,15998464,16,3984,1000,0,13.00
593908,15908352,38,3962,1000,0,9.00
593921,15908352,38,3962,1000,0,20.00
593934,7839232,8,1992,3000,1,17.00
593946,15908352,38,3962,999,1,12.00
593959,7749120,30,1970,3000,0,22.00
593971,15998464,16,3984,667,333,11.00
593985,15998464,16,3984,1000,0,14.00
593998,11828736,34,2966,2000,0,18.00
594011,4550144,14,1189,3006,791,20.00
594023,7835136,9,1991,3000,0,23.00
594035,15937024,31,3969,1000,0,13.00
594048,11845120,30,2970,2000,0,18.00
594061,15871488,38,3953,1000,0,10.00
594074,15924736,34,3966,0,1000,6.00
594088,20020736,34,4966,0,0,5.00
594101,20037120,30,4970,0,0,7.00
594115,12758528,35,3193,999,773,13.00
594128,19824128,38,4918,0,44,10.00
594142,15924736,34,3966,1000,0,6.00
594155,15900160,40,3960,1000,0,17.00
