FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
317261,-192,0,0,0,3,1.00
317277,3925504,26,974,0,0,1.00
317294,3925504,26,974,0,0,2.00
317310,3925504,26,974,0,0,1.00
317327,3925504,26,974,0,0,1.00
317344,3925504,26,974,0,0,1.00
317361,-64000,0,0,10,990,0.99
317378,3925504,26,974,0,0,1.00
317394,3925504,26,974,0,0,1.00
317411,2692608,26,673,0,301,10.89
317427,-64000,0,0,1000,1,11.00
317443,-64000,0,0,1000,0,11.00
317459,-64000,0,0,1000,0,10.00
317475,-64000,0,0,1000,0,8.00
317491,-64000,0,0,1000,0,11.00
317507,-64000,0,0,1000,0,9.90
317523,-64000,0,0,1000,0,10.89
317539,-64000,0,0,1000,0,11.00
317555,-64000,0,0,1000,0,2.00
317572,4015616,4,996,0,0,0.99
317589,4015616,4,996,0,0,1.00
317605,4015616,4,996,0,0,1.98
317622,4015616,4,996,0,0,1.00
317639,4015616,4,996,0,0,1.00
317656,4015616,4,996,0,0,8.00
317672,-64000,0,0,1000,0,11.00
317688,-64000,0,0,1000,0,11.00
317703,-64000,0,0,1000,0,2.00
317720,3925504,26,974,0,0,1.00
317737,3925504,26,974,0,0,1.00
317754,3925504,26,974,0,0,1.00
317770,3925504,26,974,0,0,1.00
317787,3925504,26,974,0,0,2.00
317804,3925504,26,974,0,0,1.00
317821,4015616,4,996,0,0,1.00
317837,4015616,4,996,0,0,1.00
317854,4015616,4,996,0,0,2.00
317871,4015616,4,996,0,0,1.00
317888,4015616,4,996,0,0,1.00
317905,4015616,4,996,0,0,1.00
317921,4015616,4,996,0,0,1.00
317938,4015616,4,996,0,0,1.00
317955,1771008,3,448,0,549,1.00
317971,3925504,26,974,0,0,1.00
317988,3925504,26,974,0,0,2.00
