FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
320697,-128,0,0,0,2,20.00
320737,-64000,0,0,1000,0,21.00
320774,-64000,0,0,1000,0,21.00
320812,-64000,0,0,1000,0,4.00
320854,4015616,4,996,0,0,2.00
320895,4015616,4,996,0,0,3.00
320937,4015616,4,996,0,0,2.00
320979,3925504,26,974,0,0,2.00
321021,3925504,26,974,0,0,3.00
321063,3925504,26,974,0,0,23.00
321099,-64000,0,0,1000,0,24.00
321135,-64000,0,0,1000,0,25.00
321172,-64000,0,0,1000,1,20.00
321210,-64000,0,0,999,0,23.00
321247,-64000,0,0,1000,0,24.00
321283,-64000,0,0,1000,0,4.00
321325,4015616,4,996,0,0,2.00
321366,4015616,4,996,0,0,3.00
321408,4015616,4,996,0,0,21.00
321445,-64000,0,0,1000,0,25.00
321481,-64000,0,0,1000,0,25.00
321518,-64000,0,0,1000,0,21.00
321555,-64000,0,0,1000,0,22.00
321592,-64000,0,0,999,0,25.00
321628,-64000,0,0,1000,0,20.00
321666,-64000,0,0,1000,0,24.00
321703,-64000,0,0,1000,1,23.00
321739,-64000,0,0,1000,0,18.00
321777,-64000,0,0,1000,0,24.00
321813,-64000,0,0,1000,0,15.00
321852,-64000,0,0,999,0,2.00
321894,3925504,26,974,0,0,1.00
321935,3925504,26,974,0,0,1.00
321977,3925504,26,974,0,0,0.00
322019,3925504,26,974,0,0,1.00
322060,3925504,26,974,0,0,2.00
322102,3925504,26,974,0,0,2.00
322142,4015616,4,996,0,0,2.00
322183,4015616,4,996,0,0,2.00
322225,4015616,4,996,0,0,18.00
322262,-64000,0,0,1000,0,18.00
322300,-64000,0,0,1000,0,7.00
322341,-64000,0,0,1000,0,3.00
322380,4015616,4,996,0,0,0.00
322420,4015616,4,996,0,0,1.00
