FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
263217,-832,0,0,0,13,1.00
263237,4015616,4,996,0,0,2.00
263258,3864064,4,959,0,37,12.00
263277,-64000,0,0,1000,0,14.00
263297,-64000,0,0,1000,0,2.00
263318,4015616,4,996,0,0,1.00
263339,4015616,4,996,0,0,1.00
263360,4015616,4,996,0,0,1.00
263381,4015616,4,996,0,0,2.00
263402,4015616,4,996,0,0,1.00
263423,4015616,4,996,0,0,12.00
263442,-64000,0,0,1000,0,13.00
263462,-64000,0,0,1000,0,2.00
263483,4015616,4,996,0,0,1.00
263504,4015616,4,996,0,0,2.00
263525,4015616,4,996,0,0,1.00
263546,4015616,4,996,0,0,12.00
263565,-64000,0,0,1000,0,13.86
263585,-64000,0,0,1000,0,1.98
263606,4015616,4,996,0,0,2.00
263627,4015616,4,996,0,0,1.00
263648,3925504,26,974,0,0,2.00
263669,3925504,26,974,0,0,11.00
263688,-64000,0,0,1000,0,13.00
263708,-64000,0,0,1000,0,12.00
263728,-64000,0,0,1000,0,12.00
263748,-64000,0,0,1000,0,3.00
263769,4015616,4,996,0,0,1.00
263790,4015616,4,996,0,0,2.00
263811,3925504,26,974,0,0,1.00
263832,3925504,26,974,0,0,2.00
263853,4015616,4,996,0,0,1.00
263874,4015616,4,996,0,0,2.00
263895,4015616,4,996,0,0,2.00
263916,4015616,4,996,0,0,2.00
263937,3925504,26,974,0,0,1.00
263957,3925504,26,974,0,0,2.00
263978,3925504,26,974,0,0,1.00
263999,3925504,26,974,0,0,2.00
264020,3925504,26,974,0,0,1.00
264041,3925504,26,974,0,0,2.00
264062,4015616,4,996,0,0,2.00
264083,4015616,4,996,0,0,1.00
264104,4015616,4,996,0,0,2.00
264125,4015616,4,996,0,0,2.00
