FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
516603,-960,0,0,0,15,10.00
516618,7967232,8,1992,1000,0,9.00
516633,7967232,8,1992,1000,0,12.00
516648,7967232,8,0,1000,2000,4.00
516663,11973120,30,2970,0,0,3.00
516679,11973120,30,2970,0,0,2.00
516695,7795200,26,1950,0,1024,3.00
516710,11956736,34,2966,0,0,3.00
516726,11956736,34,2966,0,0,3.00
516741,11301376,13,2806,0,181,11.00
516756,7967232,8,1992,1000,0,12.00
516771,7967232,8,1992,1000,0,12.00
516786,6140416,7,1546,1019,428,13.00
516801,7967232,8,1992,1000,0,10.00
516816,7967232,8,1992,1000,0,11.00
516831,7877120,30,1970,1000,0,4.00
516847,11956736,34,2966,0,0,3.00
516862,11956736,34,2966,0,0,3.00
516878,12042752,13,2987,0,605,10.00
516893,7967232,8,1992,1000,0,12.00
516908,7967232,8,1992,1000,0,12.00
516923,7877120,30,1970,1000,0,12.00
516938,7893504,26,1974,1000,0,13.00
516953,7893504,26,1974,1000,0,10.00
516968,7832064,26,1959,1000,15,13.00
516983,7877120,30,1970,1000,0,13.00
516998,7877120,30,1970,1000,0,9.90
517013,5542400,30,1400,1119,451,14.00
517027,7877120,30,1970,1000,0,12.00
517042,7877120,30,1970,1000,0,12.00
517057,7877120,30,1970,1000,0,12.00
517072,7967232,8,1992,1000,0,12.00
517087,7967232,8,1992,1000,0,12.00
517101,-65024,1,31,1000,1968,3.00
517117,11956736,34,2966,0,0,3.00
517133,11956736,34,2966,0,0,2.97
517149,3617280,5,930,0,2065,3.96
517164,11956736,34,2966,0,0,2.00
517180,11956736,34,2966,0,0,3.00
517195,6578688,30,1653,0,1317,21.00
517209,3883520,5,995,2000,0,21.00
517222,3883520,5,995,2000,0,20.00
517236,3797504,26,974,2000,0,18.00
517250,3797504,26,974,2000,0,20.00
517264,3797504,26,974,2000,0,21.00
