FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
230559,-1344,0,0,0,21,3.00
230608,4015616,4,996,0,974,2.00
230658,3675648,4,913,0,83,24.00
230702,-64000,0,0,1000,0,24.00
230746,-64000,0,0,1000,0,4.00
230797,4015616,4,996,0,0,19.00
230842,-64000,0,0,1000,0,7.00
230892,3925504,26,974,0,0,21.00
230937,-64000,0,0,1000,0,9.00
230986,4015616,4,996,0,0,3.00
231036,3925504,26,974,0,0,4.00
231086,3925504,26,974,0,0,3.00
231136,4015616,4,996,0,0,3.00
231186,4015616,4,996,0,0,4.00
231237,3921408,27,973,0,0,3.00
231287,4015616,4,996,0,0,4.00
231337,4015616,4,996,0,0,3.00
231387,4015616,4,996,0,0,20.00
231432,-64000,0,0,999,0,9.00
231481,4015616,4,996,0,0,18.00
231526,-64000,0,0,1000,0,13.00
231574,3925504,26,974,0,0,3.00
231624,4015616,4,996,0,0,3.00
231674,4015616,4,996,0,0,17.00
231720,-64000,0,0,1000,0,15.00
231767,4015616,4,996,0,0,14.00
231814,-64000,0,0,1000,0,17.00
231860,4015616,4,996,0,0,3.00
231910,4015616,4,996,0,0,4.00
231960,4015616,4,996,0,0,11.00
232008,-64000,0,0,1000,0,25.00
232052,-64000,0,0,1000,0,19.00
232098,4015616,4,996,0,0,3.00
232148,4015616,4,996,0,0,4.00
232198,3925504,26,974,0,0,3.00
232249,4015616,4,996,0,0,3.00
232299,4015616,4,996,0,0,4.00
232349,4015616,4,996,0,0,8.00
232397,-64000,0,0,1000,0,22.00
232442,3925504,26,974,0,0,6.00
232491,-64000,0,0,1000,0,25.00
232536,-64000,0,0,1000,0,23.00
232580,4015616,4,996,0,0,3.00
232630,3925504,26,974,0,0,4.00
232681,4015616,4,996,0,0,3.00
