FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
573223,-3584,0,0,0,56,7.00
573232,11982848,12,2988,1000,0,7.00
573241,11982848,12,2988,1000,0,7.92
573250,3823616,4,1017,1000,1979,9.00
573259,11909120,30,2970,1000,0,6.00
573268,11909120,30,2970,1000,0,5.94
573277,10737664,29,2684,1000,287,8.00
573286,11892736,34,2966,1000,0,9.00
573295,11892736,34,2966,1000,0,9.00
573304,11819008,34,2944,1000,22,7.00
573313,11909120,30,2970,1000,0,9.00
573322,11909120,30,2970,1000,0,8.00
573331,1751040,2,490,1000,2508,4.00
573341,16062464,16,3984,0,0,2.00
573350,16062464,16,3984,0,0,2.00
573359,7120896,9,1801,0,2190,10.00
573368,11884544,36,2964,1000,0,7.00
573378,11884544,36,2964,1000,0,8.00
573387,11626496,36,2901,1000,63,10.00
573395,11892736,34,2966,1000,0,6.00
573405,11892736,34,2966,1000,0,8.00
573414,11892736,34,2966,1000,0,15.00
573422,7903232,8,1992,2000,0,14.00
573431,7903232,8,1992,2000,0,14.00
573439,-256000,0,0,2000,2000,11.00
573448,7903232,8,1992,2000,0,15.00
573456,7903232,8,1992,2000,0,13.00
573465,3823616,4,996,2000,1000,8.00
573474,11909120,30,2970,1000,0,8.00
573483,11909120,30,2970,1000,0,7.00
573492,11552768,30,2883,1000,87,10.00
573501,11892736,34,2966,1000,0,9.00
573510,11892736,34,2966,1000,0,8.00
573519,10672128,31,2668,1000,301,14.00
573528,7903232,8,1992,2000,0,12.00
573536,7903232,8,1992,2000,0,15.00
573545,1783808,2,498,2000,1498,8.00
573554,11892736,34,2966,1000,0,8.00
573563,11892736,34,2966,1000,0,8.00
573572,8579072,30,2157,1000,813,15.00
573580,3819520,5,995,3000,0,19.00
573588,3819520,5,995,3000,0,19.00
573596,-256000,0,0,3000,1000,12.00
573605,7903232,8,1992,2000,0,15.00
573613,7903232,8,1992,2000,0,12.00
