FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
304683,-128,0,0,0,2,4.00
304766,3925504,26,974,0,0,4.00
304850,3077632,4,767,0,229,4.00
304932,4015616,4,996,0,0,6.00
305016,3925504,26,974,0,0,5.00
305100,3925504,26,974,0,0,4.00
305183,4015616,4,996,0,0,5.00
305267,4015616,4,996,0,0,4.00
305350,4015616,4,996,0,0,5.00
305434,4015616,4,996,0,0,5.00
305517,4015616,4,996,0,0,5.00
305601,4015616,4,996,0,0,5.00
305684,4015616,4,996,0,0,5.00
305766,4015616,4,996,0,0,5.00
305850,4015616,4,996,0,0,5.00
305933,4015616,4,996,0,0,5.00
306017,4015616,4,996,0,0,5.00
306101,4015616,4,996,0,0,5.00
306184,1488384,2,379,490,129,42.00
306249,-64000,0,0,1000,0,42.00
306313,-64000,0,0,1000,0,5.00
306397,4015616,4,996,0,0,5.00
306481,3597824,4,894,0,102,32.00
306551,-64000,0,0,1000,0,37.00
306619,-64000,0,0,1000,0,5.00
306704,4015616,4,996,0,0,5.00
306787,4015616,4,996,0,0,5.00
306871,3925504,26,974,0,0,5.00
306955,3925504,26,974,0,0,5.00
307039,3925504,26,974,0,0,4.00
307123,3925504,26,974,0,0,5.00
307207,4015616,4,996,0,0,5.00
307291,4015616,0,255,0,744,4.95
307375,4015616,4,996,0,0,5.00
307458,4015616,4,996,0,0,4.95
307543,4015616,4,996,0,0,5.94
307626,4015616,4,996,0,0,4.00
307711,4015616,4,996,0,0,5.00
307794,3442176,4,856,101,39,42.00
307858,-64000,0,0,1000,0,38.00
307927,-64000,0,0,1000,0,6.00
308011,3925504,26,974,0,0,5.00
308094,3925504,26,974,0,0,4.00
308178,4015616,4,996,0,0,5.00
308261,4015616,4,996,0,0,5.00
