FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
490779,-192,0,0,0,3,4.00
490790,11956736,34,2966,0,0,2.00
490802,11338240,34,2815,0,151,15.00
490813,3887616,4,996,2000,0,15.00
490824,-192000,0,0,2000,1000,4.00
490836,11956736,34,2966,0,0,2.00
490848,11956736,34,2966,0,0,3.00
490860,11956736,34,2966,0,0,3.00
490872,11956736,34,2966,0,0,9.00
490883,7967232,8,1992,1000,0,9.00
490895,7414272,8,1857,1000,135,14.00
490906,3883520,5,995,2000,0,17.00
490917,3883520,5,995,2000,0,8.00
490928,7877120,30,1970,1000,0,10.00
490940,7877120,30,1970,1000,0,10.00
490951,7877120,30,1970,1000,0,9.00
490963,7877120,30,1970,1000,0,11.00
490974,7967232,8,1992,999,1,9.00
490986,7967232,8,1992,1000,0,4.00
490998,11956736,34,2966,0,0,2.00
491010,11956736,34,2966,0,0,4.00
491022,11956736,34,2966,0,0,2.00
491034,11956736,34,2966,0,0,7.00
491045,7963136,9,1991,1000,0,9.00
491057,3887616,4,996,1000,1000,10.00
491068,7967232,8,1992,1000,0,9.00
491080,3887616,4,996,1000,1000,9.00
491092,7963136,9,1991,1000,0,9.00
491103,7963136,9,1991,1000,0,18.00
491114,-192000,0,0,3000,0,23.00
491124,-192000,0,0,3000,0,10.00
491135,7877120,30,1970,1000,0,10.00
491147,7877120,30,1970,1000,0,10.00
491158,3887616,4,996,2000,0,16.00
491169,3887616,4,996,2000,0,11.00
491180,7967232,8,1992,1000,0,8.00
491192,7967232,8,1992,1000,0,9.00
491204,7877120,30,1970,1000,0,9.00
491215,7877120,30,1970,1000,0,10.00
491227,7963136,9,1991,1000,0,10.00
491238,7963136,9,1991,1000,0,10.00
491250,7889408,27,1973,1000,0,10.00
491261,7889408,27,1973,1000,0,5.00
491273,11956736,34,2966,0,0,2.00
491285,11956736,34,2966,0,0,11.00
