FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
308347,-64,0,0,0,1,29.00
308400,-64000,0,0,1000,0,29.00
308454,-64000,0,0,1000,1,4.00
308517,4015616,4,996,0,0,4.00
308580,4015616,4,996,0,0,4.00
308643,3921408,27,973,0,0,3.00
308706,3921408,27,973,0,0,3.00
308769,4015616,4,996,0,0,3.00
308831,4015616,4,0,0,1000,4.00
308894,4015616,4,996,0,0,4.00
308957,-64000,1,639,0,0,4.00
309020,4015616,4,996,0,0,3.00
309083,3524096,4,876,42,119,33.00
309135,-64000,0,0,1000,0,34.00
309186,-64000,0,0,1000,0,4.00
309249,4015616,4,996,0,0,4.00
309312,4015616,4,996,0,0,4.00
309375,4015616,4,996,0,0,3.00
309438,4015616,4,996,0,0,4.00
309501,4015616,4,996,0,0,4.00
309563,-64000,0,0,0,0,4.00
309626,4015616,4,996,0,0,3.00
309689,3573248,4,888,24,7,33.00
309741,-64000,0,0,1000,0,35.00
309792,-64000,0,0,1000,0,30.00
309845,-64000,0,0,1000,0,34.00
309897,-64000,0,0,1000,0,24.00
309953,-64000,0,0,1000,0,34.00
310004,-64000,0,0,1000,0,6.00
310066,3925504,26,974,0,0,4.00
310129,3925504,26,974,0,0,4.00
310192,3925504,26,974,0,0,3.00
310254,3925504,26,974,0,0,4.00
310317,3925504,26,974,0,0,4.00
310380,3925504,26,974,0,0,4.00
310443,3925504,26,974,0,0,3.00
310506,3925504,26,974,0,0,4.00
310568,4015616,4,996,0,0,4.00
310631,4015616,4,996,0,0,4.00
310694,4015616,4,996,0,0,3.00
310757,4015616,4,996,0,0,4.00
310821,3925504,26,974,0,0,4.00
310883,3925504,26,974,0,0,4.00
310946,4015616,4,996,0,0,4.00
311009,4015616,4,996,0,0,4.00
