FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
612811,-64,0,0,0,1,10.00
612823,15941120,30,3970,1000,0,11.00
612834,15941120,30,3970,1000,0,25.00
612844,3669504,26,974,4000,0,32.00
612854,3669504,26,974,4000,0,11.00
612865,15908352,38,3962,1000,0,9.00
612877,15908352,38,3962,1000,0,17.00
612888,11845120,30,2970,2000,0,18.00
612899,11845120,30,2970,2000,0,11.00
612911,15924736,34,3966,1000,0,9.00
612922,15924736,34,3966,1000,0,11.00
612934,15904256,39,3961,1000,0,10.00
612946,15904256,39,3961,1000,0,15.00
612957,11828736,34,2966,2000,0,19.00
612968,11828736,34,2966,2000,0,5.00
612981,19987968,42,4958,0,0,4.00
612993,19987968,42,4958,0,0,10.00
613006,15986176,19,3981,1000,0,11.00
613018,15986176,19,3981,1000,0,16.00
613029,11828736,34,2966,2000,0,16.00
613040,11640320,34,2920,2000,46,22.00
613050,7749120,30,1970,3000,0,26.00
613060,7749120,30,1970,3000,0,15.00
613072,11845120,30,2970,2000,0,18.81
613082,11845120,30,2970,2000,0,10.00
613094,15908352,38,3962,1000,0,10.00
613106,15908352,38,3962,1000,0,15.00
613118,11820544,36,2964,2000,0,19.00
613128,11820544,36,2964,2000,0,12.00
613140,15941120,30,3970,1000,0,10.00
613152,15941120,30,3970,1000,0,11.00
613163,15908352,38,3962,1000,0,11.00
613175,15908352,38,3962,1000,0,12.00
613186,15941120,30,3970,1000,0,11.00
613198,15941120,30,3970,1000,0,10.00
613210,15908352,38,3962,1000,0,11.00
613221,15908352,38,3962,1000,0,10.00
613233,15908352,38,3962,1000,0,12.00
613245,15908352,38,3962,1000,0,11.00
613257,15998464,16,3984,1000,0,9.00
613269,15998464,16,3984,1000,0,11.00
613280,15924736,34,3966,1000,0,11.00
613292,15924736,34,3966,1000,0,15.00
613303,11816448,37,2963,2000,0,19.00
613314,11816448,37,2963,2000,0,12.00
