FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
343936,-896,0,0,0,14,5.00
344018,4015616,4,996,0,0,4.00
344102,4015616,4,996,0,0,5.00
344185,3921408,27,973,0,0,4.00
344270,3921408,27,973,0,0,5.00
344353,3921408,27,973,0,0,4.00
344436,3925504,26,974,0,0,5.00
344520,3925504,26,974,0,0,4.00
344605,3925504,26,974,0,0,6.00
344688,4015616,4,996,0,0,4.00
344771,4015616,4,996,0,0,4.00
344855,4015616,4,996,0,0,6.00
344939,4015616,4,996,0,0,4.00
345021,4015616,4,996,0,0,5.00
345105,4015616,4,996,0,0,5.00
345189,1426944,2,364,505,129,42.00
345253,-64000,0,0,1000,0,41.00
345318,-64000,0,0,999,1,38.00
345384,-64000,0,0,0,1000,5.00
345467,4015616,4,996,0,0,5.00
345552,4015616,4,996,0,0,5.00
345635,4015616,4,996,0,0,5.00
345719,4015616,4,996,0,0,5.00
345803,4015616,4,996,0,0,5.00
345887,4015616,4,996,0,0,5.00
345971,4015616,4,996,0,0,4.00
346054,4015616,4,996,0,0,5.00
346137,1136128,2,293,566,139,39.00
346204,-64000,0,0,1000,0,42.00
346268,-64000,0,0,1000,0,41.00
346333,-64000,0,0,1000,0,5.00
346417,4015616,4,996,0,0,5.00
346501,4015616,4,996,0,0,4.00
346583,4015616,4,996,0,0,5.00
346667,4015616,4,996,0,0,4.95
346751,4015616,4,996,0,0,3.96
346835,2000384,3,504,384,109,42.00
346899,-64000,0,0,1000,1,40.00
346965,-64000,0,0,1000,0,42.00
347028,-64000,0,0,1000,1,5.00
347112,4015616,4,996,0,0,4.00
347196,4015616,4,996,0,0,5.00
347280,3147264,4,784,76,136,37.00
347348,-64000,0,0,1000,0,40.00
347413,-64000,0,0,1000,0,39.00
