FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
622476,-18240,0,0,0,285,7.00
622480,11918848,12,2988,2000,0,6.00
622484,11918848,12,2988,2000,0,7.00
622489,11918848,12,2988,2000,0,6.00
622493,11918848,12,2988,2000,0,6.00
622498,11918848,12,2988,2000,0,7.00
622502,3759616,4,996,2000,2000,4.00
622507,19987968,42,4958,0,0,1.00
622511,19987968,42,4958,0,0,2.00
622516,17743360,39,4410,0,551,6.00
622520,15924736,34,3966,1000,0,5.00
622525,15924736,34,3966,1000,0,4.00
622529,11927040,34,2990,1000,976,7.00
622534,11918848,12,2988,2000,0,8.00
622538,11918848,12,2988,2000,0,8.00
622542,7835136,9,1991,2000,1000,4.00
622547,20004352,38,4962,0,0,1.00
622552,20004352,38,4962,0,0,2.00
622556,17616384,35,4379,0,586,4.00
622561,15908352,38,3962,1000,0,5.00
622565,15908352,38,3962,1000,0,4.00
622570,15580672,38,3882,1000,80,9.00
622574,11828736,34,2966,2000,0,7.00
622579,11828736,34,2966,2000,0,7.92
622583,11828736,34,2966,2000,914,7.00
622587,11828736,34,2966,2000,0,8.00
622592,11828736,34,2966,2000,0,8.00
622596,11828736,34,2966,2000,0,4.00
622601,20004352,38,4962,0,0,2.00
622605,20004352,38,4962,0,0,1.00
622610,13745664,32,3434,0,1534,6.00
622614,15924736,34,3966,1000,0,5.00
622619,15924736,34,3966,1000,0,4.00
622623,17972736,34,4466,500,0,6.00
622628,15924736,34,3966,1000,0,4.00
622632,15924736,34,3966,1000,0,5.00
622637,13819392,32,3452,1000,516,5.00
622641,15908352,38,3962,1000,0,4.00
622646,15908352,38,3962,1000,0,4.00
622650,8785408,10,2240,1000,1750,6.00
622655,15957504,26,3974,1000,0,4.00
622659,15957504,26,3974,1000,0,5.00
622664,15486464,28,3859,1000,113,3.00
622668,20004352,38,4962,0,0,2.00
622673,20004352,38,4962,0,0,1.00
