FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
515708,-64,0,0,0,1,13.00
515728,7967232,8,1992,1000,0,12.00
515747,7967232,8,1992,1000,0,15.00
515767,7926272,8,1982,1000,10,15.00
515786,7967232,8,1992,1000,0,14.00
515806,7967232,8,1992,1000,0,13.00
515826,3883520,5,995,1000,1000,11.00
515846,7877120,30,1970,1000,0,16.00
515865,7877120,30,1970,1000,0,17.00
515885,3985920,4,207,1000,1976,5.00
515906,11956736,34,2966,0,0,3.00
515927,11956736,34,2966,0,0,4.00
515948,11969024,31,2969,0,0,4.00
515968,11969024,31,2969,0,0,4.00
515989,11969024,31,2969,0,0,3.00
516010,6455808,27,1623,236,1114,16.00
516030,7963136,9,1991,1000,0,16.00
516049,7963136,9,1991,1000,0,15.00
516069,7967232,8,1992,1000,271,16.00
516088,7873024,31,1969,1000,0,15.00
516108,7873024,31,1969,1000,1,15.00
516127,852480,1,255,1117,1627,17.00
516147,7877120,30,1970,1000,0,17.00
516166,7877120,30,1970,1000,0,16.00
516186,7680512,30,1922,1000,48,3.00
516206,12046848,12,2988,0,0,4.00
516227,12046848,12,2988,0,0,5.00
516248,3289600,5,850,0,1460,4.00
516269,12046848,12,2988,0,0,4.00
516290,12046848,12,2988,0,0,3.00
516311,4010496,11,1026,399,1564,26.00
516328,3793408,27,973,1999,1,27.00
516345,3793408,27,973,2000,1,28.00
516362,74240,4,65,2012,919,5.00
516383,11956736,34,2966,0,0,3.00
516404,11956736,34,2966,0,0,4.00
516425,9052672,31,2257,0,712,16.00
516444,7877120,30,1970,1000,0,16.00
516464,7877120,30,1970,999,0,15.00
516483,7397888,30,1853,1000,117,13.00
516503,7877120,30,1970,1000,1,15.00
516523,7877120,30,1970,1000,0,16.00
516543,4039168,5,1033,1000,962,15.00
516562,7967232,8,1992,1000,0,16.00
516582,7967232,8,1992,1000,0,14.00
