FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
379478,-128,0,0,0,2,3.00
379503,7941120,30,1970,0,0,15.00
379526,-128000,0,0,1000,1000,12.00
379550,3542016,4,896,1000,100,15.00
379572,3951616,4,996,1000,0,14.00
379594,3951616,4,996,1000,0,4.00
379619,7941120,30,1970,0,0,12.00
379643,3947520,5,995,1000,0,7.00
379667,7941120,30,1970,0,0,4.00
379692,7941120,30,1970,0,0,3.00
379717,8031232,8,1992,0,0,4.00
379742,7953408,27,1973,0,0,4.00
379767,7941120,30,1970,0,0,4.00
379792,7941120,30,1970,0,0,21.00
379814,-128000,0,0,2000,0,9.00
379838,7941120,30,1970,0,0,13.00
379861,3951616,4,996,1000,0,15.00
379884,3861504,26,974,1000,0,14.00
379907,3951616,4,996,1000,0,8.00
379931,7941120,30,1970,0,0,10.00
379955,3951616,4,996,999,0,10.00
379979,7941120,30,1970,0,0,6.00
380004,3951616,4,996,1000,0,13.00
380027,3861504,26,974,1000,0,14.00
380049,3951616,4,996,1000,0,13.00
380071,8031232,8,1992,0,0,10.00
380095,3951616,4,996,1000,0,10.00
380119,7937024,31,1969,0,0,3.00
380144,8031232,8,1992,0,0,4.00
380169,8031232,8,1992,0,0,4.00
380195,7941120,30,1970,0,0,5.00
380220,8031232,8,1992,0,0,9.00
380244,-128000,0,0,2000,0,19.00
380266,3951616,4,996,1000,0,18.00
380287,3951616,4,996,1000,0,13.00
380311,7941120,30,1970,0,0,4.00
380336,8027136,9,1991,0,0,4.00
380361,7941120,30,1970,0,0,3.00
380386,7941120,30,1970,0,0,6.00
380410,3861504,26,974,1000,0,14.00
380433,2251776,26,581,1155,238,26.00
380453,3951616,4,996,1000,0,4.00
380478,3947520,5,995,1000,0,14.00
380500,7941120,30,1970,0,0,4.00
380525,7941120,30,1970,0,0,3.00
