FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
590437,-192,0,0,0,3,15.00
590459,11909120,30,2970,1000,0,18.00
590480,11909120,30,2970,1000,0,16.00
590502,11905024,30,2969,1000,1,25.00
590522,7813120,30,1970,2000,0,27.00
590541,7813120,30,1970,2000,0,25.00
590561,3962880,15,1030,2006,949,15.00
590583,11909120,30,2970,1000,0,18.00
590605,11909120,30,2970,999,1,20.00
590626,9291776,31,2331,1000,638,15.00
590648,11978752,13,2987,1000,0,17.00
590671,11978752,13,2987,1000,0,17.00
590692,11982848,12,2988,1000,0,16.00
590714,11982848,12,2988,1000,0,19.00
590735,11982848,12,2988,1000,0,18.00
590757,11978752,13,2987,1000,0,8.00
590781,16062464,16,3984,0,0,5.00
590806,16062464,16,3984,0,0,7.00
590831,15984640,35,3965,0,0,18.00
590853,11905024,31,2969,1000,0,18.00
590875,11905024,31,2969,1000,0,19.00
590896,11982848,12,2988,1000,0,6.93
590921,16062464,16,3984,0,0,5.00
590947,16062464,16,3984,0,0,6.00
590972,11888640,35,2965,498,502,19.00
590993,11905024,31,2969,1000,0,16.00
591016,11905024,31,2969,1000,0,18.00
591038,15988736,34,3966,0,0,23.00
591058,7813120,30,1970,2000,0,30.00
591076,7813120,30,1970,2000,0,32.00
591095,7829504,26,1974,2000,0,7.00
591119,15988736,34,3966,0,0,6.00
591144,15988736,34,3966,0,0,5.00
591170,11892736,34,2966,653,347,19.00
591191,11892736,34,2966,1000,0,17.00
591213,11892736,34,2966,999,1,15.00
591236,7903232,8,1992,435,1541,19.00
591257,11888640,35,2965,1000,0,19.00
591279,11888640,35,2965,1000,0,18.00
591300,7825408,27,1973,588,1412,19.00
591322,11909120,30,2970,1000,0,17.00
591344,11909120,30,2970,1000,0,17.00
591366,7444480,26,1880,0,2094,17.00
591387,11978752,13,2987,1000,0,18.00
591409,11978752,13,2987,999,0,17.00
