FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
632236,-64,0,0,0,2109,39.00
632268,11828736,34,2966,2000,0,37.00
632299,11828736,34,2966,2000,0,44.00
632326,8580608,9,2173,2000,818,30.00
632358,15998464,16,3984,1000,0,29.00
632391,15998464,16,3984,1000,0,26.00
632424,12660224,19,3169,1005,807,9.00
632466,20000256,39,4961,0,0,12.00
632508,20000256,39,4961,0,0,13.00
632549,12770816,36,3196,0,2712,12.00
632591,20073984,21,4979,0,0,12.00
632633,20073984,21,4979,0,0,11.00
632674,18124288,20,4503,101,373,29.00
632706,15990272,18,3982,1000,0,29.00
632739,15990272,18,3982,1000,0,29.00
632771,9137664,34,3436,1000,0,28.00
632804,15924736,34,3966,1000,0,24.00
632839,15924736,34,3966,1000,0,32.00
632871,15990272,18,3982,1000,0,13.00
632913,19987968,42,4958,0,0,12.00
632955,19987968,42,4958,0,0,13.00
632996,18509312,36,4597,212,155,26.00
633030,15937024,31,3969,1000,0,31.00
633062,15937024,31,3969,1000,0,32.00
633094,15941120,30,3970,1000,0,12.00
633136,20004352,38,4962,0,0,11.00
633177,20004352,38,4962,0,0,10.00
633219,7740928,8,1968,1436,1588,45.00
633245,11828736,34,2966,2000,0,42.00
633274,11828736,34,2966,2000,0,44.00
633302,18976256,34,4391,188,387,30.00
633334,15924736,34,3966,1000,0,25.00
633370,15924736,34,3966,1000,0,30.00
633402,8826368,32,2233,1977,758,50.00
633426,7839232,8,1992,3000,0,52.00
633449,7839232,8,1992,3000,1,51.00
633473,11550208,28,2898,2073,11,25.00
633508,15932928,32,3968,1000,0,30.00
633541,15932928,32,3968,1000,0,30.00
633574,15867392,34,3952,1000,14,30.00
633607,15924736,34,3966,1000,1,31.00
633639,15924736,34,3966,1000,0,23.00
633675,15998464,16,3984,1000,0,27.00
633707,15994368,17,3983,1000,0,30.00
633740,15994368,17,3983,1000,0,28.00
