FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
626135,-960,0,0,0,15,15.00
626154,15924736,34,3966,1000,0,14.85
626173,15924736,34,3966,1000,0,17.00
626191,3001856,4,811,1000,3185,21.00
626210,11918848,12,2988,2000,0,26.00
626227,11918848,12,2988,2000,0,25.00
626245,2616832,3,717,2000,2281,12.00
626265,15908352,38,3962,1000,0,18.00
626283,15908352,38,3962,1000,0,18.00
626301,8035840,8,2040,1000,2952,7.00
626322,19983872,43,4957,0,0,5.00
626343,19983872,43,4957,0,0,7.00
626364,19508736,40,4512,118,499,16.83
626382,15924736,34,3966,1000,0,18.00
626400,15924736,34,3966,1000,0,15.84
626418,4902400,5,1275,1413,2307,17.00
626437,15908352,38,3962,1000,0,18.00
626455,15908352,38,3962,1000,0,17.00
626473,12316160,32,3085,0,1883,17.00
626492,15908352,38,3962,1000,0,16.00
626510,15908352,38,3962,1000,0,16.00
626529,8453632,12,2142,1055,1791,33.00
626545,7835136,9,1991,3000,0,38.00
626560,7835136,9,1991,3000,0,37.00
626576,-320000,0,0,3000,2000,15.00
626595,15924736,34,3966,1000,0,17.00
626613,15924736,34,3966,1000,0,17.00
626632,10333696,32,2601,1247,1120,28.00
626648,11828736,34,2966,2000,0,29.00
626664,11828736,34,2966,2000,0,27.00
626681,11841024,31,2969,2000,0,17.00
626699,15924736,34,3966,999,1,17.00
626718,15924736,34,3966,1000,0,17.00
626736,11386368,30,2109,1000,1883,18.00
626754,15908352,38,3962,1000,0,16.00
626773,15908352,38,3962,1000,0,16.00
626791,13073920,37,3270,1130,563,30.69
626807,7839232,8,1992,3000,0,36.00
626822,7839232,8,1992,3000,0,35.00
626836,7335424,8,1869,2999,124,28.00
626853,7745024,31,1969,3000,0,37.00
626868,7745024,31,1969,3000,0,37.00
626883,3411456,4,911,3000,1085,18.00
626902,15908352,38,3962,1000,0,18.00
626920,15908352,38,3962,1000,0,17.00
