FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
522288,-14976,0,0,0,234,31.00
522342,7967232,8,1992,1000,0,35.00
522395,7967232,8,1992,1000,0,39.00
522447,7557632,8,1892,1000,100,46.00
522494,3887616,4,996,2000,1,54.00
522535,3887616,4,996,1999,1,45.00
522583,3797504,26,974,2000,0,31.00
522635,7877120,30,1970,999,1,36.00
522679,7877120,30,1970,1000,0,36.00
522723,7967232,8,1992,1000,1,29.00
522771,7873024,31,1969,1000,0,33.00
522818,7873024,31,1969,1000,0,35.00
522862,7893504,26,1974,999,0,12.00
522924,11973120,30,2970,0,0,11.00
522987,11973120,30,2970,0,0,10.00
523050,10203648,30,2538,308,125,35.00
523102,7967232,8,1992,1000,0,40.00
523153,7967232,8,1992,1000,0,39.00
523204,7967232,8,1992,1000,0,11.00
523267,11973120,30,2970,0,0,11.00
523330,11973120,30,2970,0,0,10.00
523392,7823872,29,1740,0,1000,11.00
523455,11956736,34,2966,0,0,11.00
523518,11956736,34,2966,0,0,10.00
523581,12042752,13,2987,0,0,11.00
523644,12046848,12,2988,0,0,9.00
523706,12046848,12,2988,0,0,11.00
523768,10236416,12,2546,300,791,39.00
523819,7963136,9,1991,1000,0,40.00
523870,7963136,9,1991,1000,0,38.00
523921,7967232,8,1992,1000,0,9.00
523983,12046848,12,2988,0,0,11.00
524046,12046848,12,2988,0,0,11.00
524109,11047424,33,2744,16,207,36.00
524153,7877120,30,1970,1000,0,35.00
524197,7877120,30,1970,1000,0,30.00
524247,5112320,29,1295,1566,110,53.00
524287,3887616,4,996,1999,0,44.00
524335,3887616,4,996,1999,1,54.00
524377,3887616,1,33,2000,965,33.00
524425,7873024,31,1969,1000,0,33.00
524472,7873024,31,1969,1000,0,36.00
524516,7213568,9,1808,1000,183,12.00
524578,12046848,12,2988,0,0,11.00
524640,12046848,12,2988,0,0,11.00
