FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
539061,-45056,0,0,0,704,25.00
539096,11892736,34,2966,1000,63,31.00
539131,7829504,26,1974,2000,1,40.00
539161,7813120,30,1970,2000,0,28.00
539199,11909120,30,2970,1000,0,49.00
539227,-256000,0,0,3999,0,42.00
539262,3733504,26,974,3000,0,27.00
539298,11982848,12,2988,1000,0,29.00
539336,11900928,32,2968,1000,0,17.00
539376,16062464,16,3984,0,0,12.00
539417,16062464,16,3984,0,0,11.00
539459,15988736,34,3966,0,0,26.00
539494,7813120,30,1970,2000,0,27.00
539528,11909120,30,2970,1000,0,27.00
539565,11978752,13,2987,1000,0,37.00
539598,7903232,8,1992,2000,0,33.00
539631,11905024,31,2969,1000,0,28.00
539667,7899136,9,1991,2000,0,34.00
539699,11892736,34,2966,1000,0,31.00
539733,7903232,8,1992,1999,1,31.00
539767,15972352,38,3962,0,0,21.00
539805,7895040,10,1990,2000,0,28.00
539840,15972352,38,3962,0,0,11.00
539881,16005120,30,3970,0,0,12.00
539922,15988736,34,3966,0,0,16.00
539961,11888640,35,2965,1000,0,27.00
539994,11892736,34,2966,1000,0,22.00
540030,15972352,38,3962,0,0,16.00
540069,3823616,4,996,3000,1,42.00
540098,11909120,30,2970,1000,0,26.00
540134,7813120,30,1970,2000,0,40.00
540163,11892736,34,2966,1000,0,29.00
540200,15972352,38,3962,0,0,18.00
540238,11892736,34,2966,1000,0,22.00
540274,15972352,38,3962,0,0,11.00
540315,14129152,39,3506,449,261,32.00
540351,11896832,33,2967,1000,0,9.00
540393,15980544,36,3964,0,0,11.00
540433,15988736,34,3966,0,0,12.00
540474,15964160,40,3960,0,0,16.00
540512,10127360,12,2535,1198,255,46.00
540542,7829504,26,1974,1999,1,21.00
540581,11823104,34,2949,1000,0,29.00
540615,11929600,12,2975,1000,0,11.00
540656,15542272,34,3857,31,78,37.00
