FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
338524,-1536,0,0,0,24,7.00
338647,4015616,4,996,0,0,7.00
338773,4015616,4,996,0,0,7.00
338897,4015616,4,996,0,0,7.00
339021,4015616,4,996,0,0,7.00
339145,4015616,4,996,0,0,7.00
339269,3921408,27,973,0,0,7.00
339394,3921408,27,973,0,0,7.00
339519,3921408,27,973,0,0,7.00
339643,4015616,4,996,0,0,8.00
339767,4015616,4,996,0,0,7.00
339892,4015616,4,996,0,0,7.00
340016,3925504,26,974,0,0,8.00
340142,3925504,26,974,0,0,6.00
340267,3925504,26,974,0,0,8.00
340391,4015616,4,996,0,0,7.00
340518,4015616,4,996,0,0,8.00
340644,4015616,4,996,0,0,7.00
340769,4015616,4,996,0,0,6.00
340893,4015616,4,996,0,0,7.00
341018,4015616,4,996,0,0,8.00
341142,4015616,4,996,0,0,8.00
341268,4015616,4,996,0,0,7.00
341394,4015616,4,996,0,0,7.00
341517,4015616,4,996,0,0,7.00
341642,4015616,4,996,0,0,7.00
341768,4015616,4,996,0,0,8.00
341893,4015616,4,996,0,0,7.00
342016,4015616,4,996,0,0,6.00
342141,4015616,4,996,0,0,9.00
342267,3921408,27,973,0,0,7.00
342391,3921408,27,973,0,0,8.00
342517,3921408,27,973,0,0,9.00
342641,-64000,0,0,999,0,51.00
342730,-64000,0,0,1000,0,55.00
342817,-64000,0,0,1000,1,53.00
342905,4015616,4,996,0,0,8.00
343029,4015616,4,996,0,0,7.00
343155,4015616,4,996,0,0,7.00
343280,4015616,4,996,0,0,7.00
343405,4015616,4,996,0,0,7.00
343531,4015616,4,996,0,0,7.00
343656,-64000,0,0,951,49,54.00
343744,-64000,0,0,1000,0,46.00
343844,-64000,0,0,1000,0,52.00
