FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
571614,-47168,0,0,0,2001,14.00
571637,11982848,12,2988,1000,0,17.00
571659,3823616,4,996,1000,1975,19.00
571682,11892736,34,2966,1000,0,20.00
571704,3876864,5,1009,1000,1986,16.00
571726,11982848,12,2988,1000,0,15.00
571748,7743488,10,1953,1000,1037,22.00
571769,7809024,31,1969,2000,0,30.00
571787,5003264,7,1284,2000,709,16.00
571811,11982848,12,2988,1000,0,20.00
571834,8558592,17,2152,1007,824,12.00
571857,11884544,36,2964,1000,0,17.00
571879,9521152,12,2387,1000,601,23.00
571900,7903232,8,1992,2000,0,29.00
571918,3184640,4,840,2000,1156,11.00
571943,16062464,16,3984,0,0,5.00
571968,10209280,13,2555,8,1424,6.00
571993,15996928,32,3968,0,0,6.00
572018,15984640,28,3965,0,7,7.00
572043,16005120,30,3970,0,0,6.00
572068,15894528,36,3943,0,21,12.00
572092,11888640,35,2965,1000,0,19.00
572113,9578496,32,2401,1000,567,17.82
572134,11978752,13,2987,1000,0,18.00
572156,11929600,13,2975,1000,12,19.00
572177,11900928,32,2968,1000,0,17.00
572200,11900928,32,2968,1000,0,16.00
572222,11892736,34,2966,1000,0,19.00
572243,11892736,34,2966,1000,0,14.00
572266,11888640,35,2965,1000,0,19.00
572287,11888640,35,2965,1000,0,19.00
572310,11892736,34,2966,1000,0,19.00
572331,11892736,34,2966,999,1,24.00
572351,7903232,8,1992,2000,0,29.00
572369,7903232,8,1992,2000,0,9.00
572394,15984640,35,3965,0,0,5.00
572419,15984640,35,3965,0,0,16.00
572441,11978752,13,2987,1000,0,17.00
572463,11978752,13,2987,1000,0,16.00
572485,11982848,12,2988,1000,0,18.00
572507,11982848,12,2988,1000,0,7.00
572531,15984640,35,3965,0,0,6.00
572557,15984640,35,3965,0,0,13.00
572579,11978752,13,2987,1000,0,19.00
572600,11978752,13,2987,1000,0,17.00
