FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
535385,-192,0,0,0,3,8.00
535393,11892736,34,2966,1000,0,15.00
535402,3819520,5,995,3000,0,11.00
535411,7903232,8,1992,2000,0,4.00
535420,15988736,34,3966,0,0,7.00
535429,11925504,26,2974,1000,0,4.00
535438,15988736,34,3966,0,0,8.00
535447,11982848,12,2988,1000,0,8.00
535456,11917312,28,2972,1000,0,10.00
535465,7899136,9,1991,2000,1,11.00
535474,11892736,34,2966,1000,0,5.00
535483,11892736,34,2966,1000,0,9.00
535492,7903232,8,1992,2000,0,10.00
535501,15984640,35,3965,0,0,12.00
535510,7903232,8,1992,2000,0,12.00
535519,3823616,4,996,3000,0,10.00
535528,11982848,12,2988,1000,0,10.00
535536,7829504,26,1974,1999,1,12.00
535545,7903232,8,1992,2000,0,11.00
535554,7903232,8,1992,2000,0,11.00
535563,7899136,9,1991,2000,0,10.00
535572,11888640,35,2965,1000,0,8.00
535581,11982848,12,2988,1000,0,9.00
535590,15988736,34,3966,0,0,5.00
535600,15964160,40,3960,0,0,5.00
535609,16062464,16,3984,0,0,4.00
535618,11884544,36,2964,1000,0,8.00
535627,7829504,26,1974,1999,1,13.00
535636,11892736,34,2966,643,357,10.00
535645,12777472,34,3182,0,784,4.00
535654,12630016,14,3146,0,840,9.00
535663,13940736,34,3466,500,0,6.00
535672,8267776,10,2081,1000,909,7.00
535681,16062464,16,3984,0,0,4.00
535691,11982848,12,2988,1000,0,8.00
535700,8058880,10,2032,603,1355,8.00
535709,13051904,31,3249,0,720,4.00
535718,9844736,34,2466,1000,500,7.00
535727,11892736,34,2966,902,98,11.00
535737,-256000,0,83,2017,1483,13.00
535745,13940736,34,3466,436,0,4.00
535755,15947776,34,3956,0,10,4.00
535764,16005120,30,3970,0,0,4.00
535773,14624768,30,3633,0,337,8.00
535782,7899136,9,1991,1000,1000,8.00
