FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
536101,-64,0,0,0,1,5.00
536106,11909120,30,2970,1000,0,8.00
536111,7813120,30,1970,2000,0,7.00
536117,7903232,8,1992,2000,0,8.00
536122,7813120,30,1970,2000,0,4.00
536128,15988736,34,3966,0,0,5.00
536133,11982848,12,2988,1000,0,4.00
536139,15968256,39,3961,0,0,4.00
536144,16062464,16,3984,0,0,6.00
536150,11909120,30,2970,1000,0,4.00
536156,15972352,38,3962,0,0,10.00
536161,-256000,0,0,4000,0,8.00
536166,7813120,30,1970,2000,0,7.00
536172,11982848,12,2988,1000,0,4.00
536177,16062464,16,3984,0,0,4.00
536183,15968256,39,3961,0,0,4.00
536188,15988736,34,3966,0,0,5.00
536194,11982848,12,2988,1000,0,4.00
536200,15988736,34,3966,0,0,6.00
536205,7813120,30,1970,2000,0,5.00
536210,11892736,34,2966,1000,0,5.00
536216,15972352,38,3962,0,0,3.00
536222,16001024,31,3969,0,0,4.00
536227,11978752,13,2987,1000,0,6.00
536233,15996928,32,3968,0,0,3.00
536238,16058368,17,3983,0,0,5.00
536244,7813120,30,1970,2000,0,4.00
536249,7813120,30,1970,1917,83,7.00
536255,13948928,32,3468,0,207,4.00
536260,13932544,36,3464,0,500,3.00
536266,15075328,37,3743,0,220,4.00
536271,11663360,30,2910,1000,60,7.00
536277,7813120,30,1970,1000,1000,5.00
536282,10000384,34,2504,0,1462,4.00
536288,7165952,8,1812,1153,1027,6.00
536293,12150784,12,3029,0,959,3.00
536299,7829504,26,1974,1000,1000,7.00
536305,3823616,4,996,2000,1000,8.00
536310,7895040,10,1990,1000,1000,4.00
536315,12789760,35,3185,0,780,5.00
536321,4868096,5,1251,1000,1698,5.00
536327,10840064,35,2709,1000,256,7.00
536332,4610048,26,1188,2000,786,8.00
536337,11978752,13,2987,1000,0,7.00
536343,-256000,0,0,3179,821,8.00
