FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
606636,-3584,0,0,0,56,10.00
606647,15908352,38,3962,1000,0,10.00
606658,15908352,38,3962,1000,0,11.00
606669,15908352,38,3962,1000,0,9.00
606680,15908352,38,3962,1000,0,13.00
606690,11845120,30,2970,2000,0,14.00
606701,11537920,31,2895,2000,263,8.00
606712,15908352,38,3962,1000,0,12.00
606723,14765568,37,3683,1000,280,5.00
606735,20004352,38,4962,0,0,3.00
606746,20004352,38,4962,0,0,10.00
606757,15908352,38,3962,1000,0,11.00
606768,9522688,30,2403,1000,1566,11.00
606779,15998464,16,3984,1000,0,10.00
606790,15613440,16,3215,1000,771,12.00
606801,15908352,38,3962,1000,0,10.00
606812,12090880,36,3030,1000,934,9.00
606823,15908352,38,3962,1000,0,11.00
606834,12754432,35,3192,1001,772,10.00
606845,15990272,18,3982,1000,0,10.00
606856,8879616,10,1251,1000,2744,6.00
606867,19987968,42,4958,0,0,3.00
606878,16719360,38,4160,0,802,15.00
606889,11828736,34,2966,2000,0,18.00
606899,3755520,5,995,2000,2000,13.00
606910,11828736,34,2966,2000,0,18.00
606920,11787776,31,2956,2000,13,19.00
606930,11845120,30,2970,2000,0,18.00
606940,11845120,30,2970,2000,0,22.00
606950,3759616,4,996,4000,0,28.00
606960,3759616,4,996,4000,1,10.00
606971,20078080,20,4980,0,0,4.00
606982,20078080,20,4980,0,0,12.00
606993,11824640,35,2965,2000,0,19.00
607003,11824640,35,2965,2000,0,14.00
607014,11824640,35,2965,2000,0,18.00
607024,11824640,35,2965,2000,0,13.00
607035,15908352,38,3962,1000,0,11.00
607046,15908352,38,3962,1000,0,9.00
607057,15904256,39,3961,1000,0,10.00
607068,15904256,39,3961,1000,0,9.00
607079,15908352,38,3962,1000,0,11.00
607090,15908352,38,3962,1000,0,13.00
607101,11910656,14,2986,2000,0,19.00
607111,11910656,14,2986,2000,0,14.00
